,name,stars,review,price,note,open_time,restautant_type,address
0,Cafe Tuấn Sơn,4.0,(39),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,Cẩm Tân
1,Ngọc nhị cẩm lĩnh,4.6,(12),None,['Dine-in'],['Open now'],Coffee shop,59W4+GCH
2,Bến thủy hồ suối hai,4.2,(58),None,"['Dine-in', 'Takeout', 'No-contact delivery']",[],None,None
3,Savila Coffee,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,xóm 3
4,Cafe Ảnh 1992,4.1,(24),None,"['Dine-in', 'Delivery']",['Open 24 hours'],Cafe,"Cafe Ảnh 1992, Phú Mỹ"
5,"COFFEE 1986 BÓNG ĐÁ, TRÀ SỮA, KEM Ý",4.1,(8),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']",['Open 24 hours'],Cafe,TL87A
6,GARA COFFEE,5.0,(1),None,['Dine-in'],[],None,None
7,Việt Cường Coffee &amp; Tea,4.7,(14),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",None,None
8,Quán cafe thảo coffee,5.0,(3),None,['Dine-in'],['Open 24 hours'],Coffee shop,Xóm 2 đồi đá
9,trường sơn quán,5.0,(3),None,['Dine-in'],['Open now'],Cafe,"4C84+88C, TL87A"
10,Cafe Louis Hoàng,5.0,(2),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",None,None
11,Đậm Cafe,None,None,None,['Dine-in'],"['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,49FR+R74
12,Quán BEO’S,None,None,None,"['Dine-in', 'Takeout']",['Open 24 hours'],Coffee shop,49FR+R74
13,Aku coffee &amp; tea,4.8,(28),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Coffee shop,"Cổng, Vườn Quốc Gia Ba Vì"
14,Cafe bến Thủy hồ suối hai,4.7,(15),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,"Đối Diện Khách Sạn Xứ Đoài, Hồ"
15,Đậm Cafe - Trà Chanh,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,4C83+544
16,Quán trà sữa Bảo châu1997,5.0,(7),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,ĐT91
17,Huy Coffee,None,None,None,['Dine-in'],[],None,None
18,1982 Coffees &amp; Tea,None,None,None,['Dine-in'],[],None,None
19,Tiệm rau má - MAXH,None,None,None,"['Dine-in', 'Takeout']",[],None,None
