,name,stars,review,price,note,open_time,restautant_type,address
0,The Coffee House N04,4.3,(489),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,"17 T3, P. Hoàng Đạo Thúy"
1,Gia Bao Cafe,4.3,(46),None,['Dine-in'],"['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,"2Q6W+X36, Hạ"
2,Cup &amp; Coffee,4.6,(22),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 8\u202fPM']",Cafe,9 Ng. 23 P. Đỗ Quang
3,Coffee,4.3,(26),None,"['Dine-in', 'Curbside pickup']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,18 Trung Yên 5
4,Thanh Hằng Art Space - Cafe &amp; Dessert,None,None,None,['Dine-in'],[],None,None
5,Cafe Góc Hội An,4.6,(11),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Coffee shop,16 Trung Yên 5
6,Loop cafe Acoustic,None,None,None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,ngõ 120 P. Trung Kính
7,Chapel Coffee Roasters,4.5,(377),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,07 P.Trung Hòa
8,C.O.C Saigon Cafe,4.4,(108),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,63 P. Lưu Quang Vũ
9,Aha Cafe Trung Hòa,4.6,(26),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,107 P.Trung Hòa
10,Viet Coffee,4.0,(62),None,['Dine-in'],"['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,218 P. Trung Kính
11,T Cup Coffee Tea,4.7,(3),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,37 P. Nguyễn Thị Định
12,Cong Cafe,4.2,"(1,485)",None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,"Tầng 1 Tòa 4F, P.Trung Hòa"
13,Cafe Thuỷ Lâm,4.3,(4),None,['Dine-in'],[],None,None
14,Khánh Coffee,4.3,(104),None,['Dine-in'],['Open 24 hours'],Coffee shop,Ngõ/M2/112 P. Trung Kính
15,Gemini Coffee,4.0,(259),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,168 P. Trung Kính
16,NƯỚNG TRÀ,5.0,(5),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,23 P. Trung Kính
17,The Central Coffee,4.3,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Espresso bar,Lô 1C Trung Yên 11B
18,Bùi Cafe Music,4.2,(195),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,1 Ng. 123 P. Trung Kính
19,Kafa Cafe,4.1,(296),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,55 P. Lưu Quang Vũ
