,name,stars,review,price,note,open_time,restautant_type,address
0,Cafe Thương,None,None,None,['Dine-in'],"['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,42 P. Sơn Tây
1,coffee chất,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Art cafe,"2RHM+4M3, chợ tản lĩnh"
2,Coffee,None,None,None,[],[],None,None
3,AUM Coffee,4.6,(22),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,8C P. Vũ Thạnh
4,Coffee,2.5,(2),None,['Dine-in'],[],None,None
5,La Viet Coffee (8A Vu Thanh),4.7,(45),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 5\u202fPM']",Coffee shop,A3 P. Vũ Thạnh
6,SAT.Coffee,None,None,None,[],[],None,None
7,Bấc- Cafe &amp; Chill,4.7,(240),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,12 ngách 31 Ng. 189 Đ. Hoàng Hoa Thám
8,Latte by Refined.,4.7,(49),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 6:30\u202fPM']",Coffee shop,11 P. Ngô Tất Tố
9,Cafe 63,5.0,(1),None,['Dine-in'],[],None,None
10,Cafe de l’amant,4.4,(37),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Cafe,1 Ng. Thông Phong
11,Daily Dose Coffee,4.5,(158),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,18 P. Lê Trực
12,FT Coffee,4.7,(25),None,['Dine-in'],[],None,None
13,CeDar Coffee,5.0,(6),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,63a P. Tôn Đức Thắng
14,Urban Hygge Coffee,4.2,(76),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,126a P. Hào Nam
15,Cà Phê Anh,4.5,(2),None,['Dine-in'],[],None,None
16,Chill Coffee,3.0,(2),None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
17,Cafe xưa và nay,4.0,(60),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,Kiốt 11 P. Đoàn Thị Điểm
18,Cà Phê Bóng Đá 9,3.2,(15),None,['Dine-in'],[],None,None
19,Phin bar by Refined.,4.8,(95),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 6\u202fPM']",Coffee shop,43 P. Văn Miếu
