,name,stars,review,price,note,open_time,restautant_type,address
0,coffee chất,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Art cafe,"2RHM+4M3, chợ tản lĩnh"
1,AUM Coffee,4.6,(22),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,8C P. Vũ Thạnh
2,Coffee,None,None,None,[],[],None,None
3,Coffee,2.5,(2),None,['Dine-in'],[],None,None
4,SAT.Coffee,None,None,None,[],[],None,None
5,The Coffee House,4.5,(544),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,30 P. Hào Nam
6,La Viet Coffee (8A Vu Thanh),4.7,(45),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 5\u202fPM']",Coffee shop,A3 P. Vũ Thạnh
7,Urban Hygge Coffee,4.2,(76),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,126a P. Hào Nam
8,FT Coffee,4.7,(25),None,['Dine-in'],[],None,None
9,Cafe’ Phố Huyện,5.0,(41),None,['Dine-in'],"['Open', ' ⋅ Closes 10\u202fPM']",Cafe,34 Đa Phúc
10,Cafe 63,5.0,(1),None,['Dine-in'],[],None,None
11,LikeTea &amp; Coffee,4.2,(148),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Bubble Tea,"73C, QL2A"
12,Latte by Refined.,4.7,(49),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 6:30\u202fPM']",Coffee shop,11 P. Ngô Tất Tố
13,Chill Coffee,3.0,(2),None,"['Dine-in', 'Takeout', 'Delivery']",['Open now'],None,None
14,Phin bar by Refined.,4.8,(95),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 6\u202fPM']",Coffee shop,43 P. Văn Miếu
15,Cà Phê Anh,4.5,(2),None,['Dine-in'],[],None,None
16,ARDOR,4.9,(36),None,"['Dine-in', 'Takeout']",[],None,None
17,Coffee Here,None,None,None,['Dine-in'],[],None,None
18,Napoli Coffee,None,None,None,['Dine-in'],[],None,None
19,"số nhà 39 ngách 1 ngõ 115?phố Núi Trúc,Kim Mã,Ba Đình,HN",None,None,None,[],[],None,None
