,name,stars,review,price,note,open_time,restautant_type,address
0,Tu Coffee,4.0,(2),None,['Dine-in'],[],None,None
1,Cafe đường tàu (AN Coffee &amp; tea),4.3,(4),None,"['Dine-in', 'Takeout']",[],None,None
2,The LOBI coffee,4.2,(191),None,"['Dine-in', 'Curbside pickup', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,2 Ngọc Lâm
3,Cafe Long Biên,3.5,(2),None,"['Dine-in', 'Takeout']",['Open now'],Coffee shop,77 P. Long Biên 1
4,Mai coffee,4.3,(32),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,481 Ngọc Lâm
5,Quán 8 Trà &amp; Cà Phê,5.0,(7),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,36 Ng. 189 Đ. Nguyễn Văn Cừ
6,Cafe Cộng,4.3,(113),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,8 Đ. Nguyễn Văn Cừ
7,D Tripp Coffee’n Tea,5.0,(2),None,[],"['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,28 Ngõ 298 Ngọc Lâm
8,An's Cafe,5.0,(1),None,[],[],None,None
9,Cafe Tưởng,4.1,(34),None,['Dine-in'],['Open 24 hours'],Cafe,57-61 Ngọc Lâm
10,Cafe 96,4.3,(62),None,['Dine-in'],"['Open', ' ⋅ Closes 8\u202fPM']",Cafe,96 Ngọc Lâm
