,name,stars,review,price,note,open_time,restautant_type,address
0,inD cafe,4.7,(29),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,541/2 Nguyễn Tri Phương
1,Chidori - Coffee in Bed,4.5,(157),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,796/2a Đ. Sư Vạn Hạnh
2,The Coffee House - Cao Thắng nối dài,4.4,"(1,349)",None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,175B Đ. Cao Thắng
3,COFFEE IN,4.2,(39),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,Đường Đ. 3 Tháng 2
4,Trend'ora Coffee,4.1,(878),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,816 Đ. Sư Vạn Hạnh
5,"The Date - Tea, Coffee and More",4.8,(30),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,824 Đ. Sư Vạn Hạnh
6,ITune Coffee,4.4,(516),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,573/10 Đ. Sư Vạn Hạnh
7,Le Petit Paris café,5.0,(16),None,"['Dine-in', 'Drive-through', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,535 Bà Hạt
8,Râu Coffee,4.7,(20),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,421/8 Đ. Sư Vạn Hạnh
9,CARROT COFFEE,4.8,(25),None,"['Dine-in', 'Drive-through', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,106B Lý Thái Tổ p1q10
10,Coffe &amp; Donut Buddy Zone,4.3,(125),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,635 Bis Đ. 3 Tháng 2
11,HÚT COFFEE,4.5,(21),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 9\u202fAM']",Coffee shop,206 Đ. Sư Vạn Hạnh
