,name,stars,review,price,note,open_time,restautant_type,address
0,Trạm Coffee,2.8,(117),None,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Coffee shop,162 Phan Huy Ích
1,Wain Garden Coffee,4.1,(278),None,"['Dine-in', 'No takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,112 Bùi Quang Là
2,Coffee. Time,4.1,(47),None,"['Dine-in', 'Takeout', 'Delivery']",['Open 24 hours'],Cafe,đường Phạm Văn Bạch
3,NT Coffee,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 7\u202fPM']",Coffee shop,84/2a Bùi Quang Là
4,Trà sữa Happy Life - Đỗ Thúc Tịnh,None,None,None,"['Dine-in', 'Takeout']",[],None,None
5,COFFEE ĐỤNG,4.8,(13),None,['Dine-in'],[],None,None
6,47 Coffee,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,114/27 Bùi Quang Là
7,Park coffee,4.1,(173),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,131 Nguyễn Duy Cung
8,The Art Coffee House,3.3,(3),None,['Dine-in'],"['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,10 Đ. Đỗ Thúc Tịnh
9,M coffee,4.1,(276),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,776A Phạm Văn Bạch
10,Quán anna coffee 160,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,2 Phan Huy Ích
11,The Coffee House - Phan Huy Ích,4.4,"(1,046)",None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Cafe,403 Phan Huy Ích
