,name,stars,review,price,note,open_time,restautant_type,address,ward,district,city
0,A-Z.Kitchen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
1,Đặng Gia Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'No-contact delivery','Open';  ' ⋅ Closes 11\u202fPM',Restaurant,555 Nguyễn Tất Thành,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
2,Quán Ăn Su Bo,4.0,(2),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
3,Mr. RÂU,4.8,(18),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 12\u202fAM',Beer Garden,535 Nguyễn Tất Thành,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
4,Nha Hang Phu Mi Thanh,3.6,(7),None,'Dine-in';  'Takeout',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
5,Mệ Xí Restaurant,None,None,None,'Dine-in',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
6,Cafe Bobo,5.0,(2),None,'Dine-in',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
7,Nhậu,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
8,Ba Loi Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'Delivery','Open now',Restaurant,"79, Dinh Tien Hoang Street, Tam Thuan Ward, Thanh Khe District",Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
9,Quán Ánh Tuyết,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
10,Quán Nhậu A. Cường,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
11,Sirô Quân,None,None,None,'Dine-in';  'Takeout','Open now',Restaurant,"36F4+M72, K222 Trần Cao Vân",Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
12,Phu My Thanh Restaurant - Nhà hàng Phú Mỹ Thành,4.0,(247),None,'Dine-in','Open';  ' ⋅ Closes 9\u202fPM',Vietnamese,417 Nguyễn Tất Thành,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
13,Quán Vân,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
14,Mở bia,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
15,Cafe 1983,None,None,None,'Dine-in',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
16,Nhà hàng Sophia,4.0,(117),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 11\u202fPM',Vietnamese,527 Nguyễn Tất Thành,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
17,Bảo Trân Quán,4.5,(2),None,'Dine-in';  'Takeout',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
18,SuBo quán,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
19,Nhà Hàng Đầm Sen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Vĩnh Trung,Quận Thanh Khê,Thành phố Đà Nẵng
20,A-Z.Kitchen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
21,Đặng Gia Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'No-contact delivery','Open';  ' ⋅ Closes 11\u202fPM',Restaurant,555 Nguyễn Tất Thành,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
22,Quán Ăn Su Bo,4.0,(2),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
23,Mr. RÂU,4.8,(18),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 12\u202fAM',Beer Garden,535 Nguyễn Tất Thành,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
24,Nha Hang Phu Mi Thanh,3.6,(7),None,'Dine-in';  'Takeout',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
25,Mệ Xí Restaurant,None,None,None,'Dine-in',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
26,Cafe Bobo,5.0,(2),None,'Dine-in',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
27,Nhậu,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
28,Ba Loi Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'Delivery','Open now',Restaurant,"79, Dinh Tien Hoang Street, Tam Thuan Ward, Thanh Khe District",Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
29,Quán Ánh Tuyết,None,None,None,'Dine-in';  'Takeout',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
30,Quán Nhậu A. Cường,None,None,None,'Dine-in';  'Takeout',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
31,Sirô Quân,None,None,None,'Dine-in';  'Takeout','Open now',Restaurant,"36F4+M72, K222 Trần Cao Vân",Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
32,Phu My Thanh Restaurant - Nhà hàng Phú Mỹ Thành,4.0,(247),None,'Dine-in','Open';  ' ⋅ Closes 9\u202fPM',Vietnamese,417 Nguyễn Tất Thành,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
33,Quán Vân,None,None,None,'Dine-in';  'Takeout',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
34,Mở bia,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
35,Cafe 1983,None,None,None,'Dine-in',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
36,Nhà hàng Sophia,4.0,(117),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 11\u202fPM',Vietnamese,527 Nguyễn Tất Thành,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
37,Bảo Trân Quán,4.5,(2),None,'Dine-in';  'Takeout',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
38,SuBo quán,None,None,None,'Dine-in';  'Takeout',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
39,Nhà Hàng Đầm Sen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường An Khê,Quận Thanh Khê,Thành phố Đà Nẵng
40,A-Z.Kitchen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
41,Đặng Gia Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'No-contact delivery','Open';  ' ⋅ Closes 11\u202fPM',Restaurant,555 Nguyễn Tất Thành,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
42,Quán Ăn Su Bo,4.0,(2),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
43,Mr. RÂU,4.8,(18),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 12\u202fAM',Beer Garden,535 Nguyễn Tất Thành,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
