,name,stars,review,price,note,open_time,restautant_type,address
0,174 ấp đông thạnh xã đông hiệp,None,None,None,['Dine-in'],[],None,None
1,Trạm Y Tế Xã Đông Hiệp,None,None,None,[],[],None,None
2,Đông Hiệp,None,None,None,[],[],None,None
3,chợ số 8 xã đông hiệp huyện cờ đỏ thành phố cần thơ,None,None,None,[],['Open 24 hours'],Wedding service,"3GH2+9GX, chợ số 8"
4,Công an xã Đông Hiệp,5.0,(2),None,[],"['Closed', ' ⋅ Opens 7:30\u202fAM Mon']",Civil police,3GH2+RM7
5,Trường Mầm non xã ĐÔNG HIỆP,None,None,None,[],[],None,None
6,Cà Phê Anh Du,None,None,None,['Dine-in'],[],None,None
7,UBND xã Đông Hiệp,3.6,(9),None,[],[],None,None
8,Trung tâm Văn Hóa - Thể thao xã Đông Hiệp,4.7,(6),None,[],[],None,None
9,Bưu điện xã đông hiệp,5.0,(1),None,[],[],None,None
10,Trường THCS Đông Hiệp,4.9,(9),None,[],[],None,None
11,Đông Hiệp,None,None,None,[],[],None,None
12,Trường Tiểu học Đông Hiệp 1,5.0,(1),None,[],[],None,None
13,Văn Phòng Công Chứng Cờ Đỏ,None,None,None,[],[],None,None
14,Trạm Y Tế Xã Đông Thắng,None,None,None,[],[],None,None
15,Chợ số 8,3.5,(13),None,['In-store shopping'],[],None,None
16,Cafe võng Bãi đá,5.0,(2),None,['Dine-in'],"['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 6\u202fAM Sat']",Cafe,"3F72+F3W, ĐT919"
17,UBND xã Đông Thắng,3.7,(3),None,[],[],None,None
18,Đông mỹ xã đông thắng huyện cờ đỏ cần thơ,5.0,(1),None,[],[],None,None
19,Quán Ăn An Lạc Thôn,4.0,(116),None,['No-contact delivery'],"['Open', ' ⋅ Closes 12\u202fAM']",None,None
