,name,stars,review,price,note,open_time,restautant_type,address
0,Phở A Hào,1.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Sat']",Restaurant,2MHP+FG8
1,Quán Ăn Gia Hân,5.0,(5),None,"['Dine-in', 'Takeout']",[],None,None
2,Vườn Cam Không Hạt,4.4,(9),None,['Dine-in'],[],None,None
3,Quán ăn 5 Beo,None,None,None,[],"['Closed', ' ⋅ Opens 5\u202fAM Sat']",Takeout Restaurant,HL 918
4,Cơm 5 Beo,5.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 5\u202fAM Sat']",Bistro,Đ. Bùi Hữu Nghĩa
5,Ăn Uống Giai Xuân,None,None,None,['Dine-in'],[],None,None
6,Caphe Hồ Bơi,4.0,(3),None,"['Dine-in', 'Delivery']","['Closed', ' ⋅ Opens 6:30\u202fAM Sat']",Cafe,2MHR+8Q3
7,nhà hàng lưu động tuấn cảnh,None,None,None,"['Dine-in', 'Takeout']",[],None,None
8,Cafe Thão Vy,5.0,(1),None,[],[],None,None
9,HONG XUAN,None,None,None,"['Dine-in', 'Takeout']",[],None,None
10,Cafe 230,5.0,(1),None,['Dine-in'],[],None,None
11,Cafe 22,5.0,(3),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 6\u202fAM Sat']",Coffee shop,Số 50/6 Ấp Thới An A H
12,Cafe Mộng Tuyền,None,None,None,"['Dine-in', 'Takeout']",[],None,None
13,Cafe 369-2,3.8,(9),None,['Dine-in'],[],None,None
