,name,stars,review,price,note,open_time,restautant_type,address
0,Vịt nướng THANH BÌNH,4.7,(3),None,"['Dine-in', 'Takeout']",['Open now'],Restaurant,"69PW+8RG, Thôn Tri Lai, Xã Đồng Thái"
1,559 Restaurant Ba Vi,4.3,(262),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",None,None
2,Vườn Ẩm Thực Ba Vì,4.2,(114),None,"['Dine-in', 'Takeout']",['Open 24 hours'],None,None
3,Thôn đồng bảng đồng thái ba vì Hà Nội Việt Nam,5.0,(1),None,[],[],None,None
4,Ba Vì General Hospital,3.4,(65),None,"['""... là bệnh viện hạng II của Hà Nội với chỉ tiêu giường bệnh kế hoạch&nbsp;...""']",['Open 24 hours'],General hospital,UBND xã Đồng Thái
5,Ba Vi Xanh restaurant,3.4,(122),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,"39MC+JQP, Vườn Quốc Gia Ba Vì"
6,Đình Tri Lai,4.7,(10),None,"['""Vị trí: 69PW+GW, thôn Tri Lai, ', 'xã Đồng Thái', ', H. Ba Vì, ', 'TP Hà Nội', '.""']",['Temporarily closed'],Place of worship,"69PW+GWX, Thôn Tri Lai, Xã Đồng Thái,"
7,Đồng Thái,None,None,None,[],[],None,None
8,Dong Thai Junior High School,4.4,(12),None,"['""Trường :quốc lộ 32 ba vì Hà nội Trường :xanh sạch đẹp giáo vien rất&nbsp;...""']",['Temporarily closed'],Middle school,"69GX+PJ8, Xã Đồng Thái, Huyện Ba Vì"
9,Trạm y tế xã Đồng Thái,3.5,(2),None,[],[],None,None
10,Trường tiểu học Đồng Thái,None,None,None,[],[],None,None
11,Công Ty TNHH Vinaepoxy Việt Nam,5.0,(1),None,[],[],None,None
12,Vịt nướng THANH BÌNH,4.7,(3),None,"['Dine-in', 'Takeout']",[],None,None
13,Q.cafe,5.0,(5),None,"['Dine-in', 'Takeout']",['Open now'],Coffee shop,"6C93+35V, QL32"
14,Nhà Hàng Lá Cọ Ba Vì,4.0,(562),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Cầu Và
15,Chai Talay Restaurant,3.7,(427),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 5\u202fPM']",Thai,474 P. Xã Đàn
16,Son Dong Baba Restaurant,4.0,(152),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,416 P. Xã Đàn
17,PHỞ BÁT ĐÁ 98 THÁI THỊNH,4.2,(113),None,"['Dine-in', 'No-contact delivery']",[],None,None
18,Bếp Thái Koh Yam - Thái Hà,4.1,(494),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Thai,330 P. Thái Hà
19,Botanica Restaurant,4.2,(353),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",French,3 P. Thái Phiên
20,Cube Beefsteak &amp; Drinks,4.1,(322),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Steak,"20 Ngõ, 211 P. Xã Đàn"
21,Phở Ấp Thái Hà,5.0,(25),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9:35\u202fPM']",Fast Food,352 P. Thái Hà
22,Quán Bia Hoàn Béo,3.9,(743),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Beer Garden,21 P. Đông Các
23,Nhà Hàng Cơm 123,4.3,(746),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Restaurant,482 P. Xã Đàn
24,Hiệu Chè Cát Thành,3.8,(107),None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
25,Quán Chè Ngon,4.2,(19),None,"['Dine-in', 'Takeout']",[],None,None
26,Susu Bánh bao Thượng Hải,4.1,(68),None,"['Dine-in', 'Drive-through', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,227 P. Xã Đàn
27,Q.cafe,5.0,(5),None,"['Dine-in', 'Takeout']",[],None,None
28,Nhà Hàng Nét Huế,4.0,(564),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,34-36 P. Thái Hà
29,Chè Khúc Bạch,4.0,(1),None,[],['Temporarily closed'],Restaurant,171 P. Xã Đàn
30,Ba Vì General Hospital,3.4,(65),None,"['""Bệnh viện đa khoa ', 'huyện', ' Ba Vì là&nbsp;...""']",['Open 24 hours'],General hospital,UBND xã Đồng Thái
31,Đình Tri Lai,4.7,(10),None,"['""Vị trí: 69PW+GW, thôn Tri Lai, xã Đồng Thái, H. Ba Vì, TP Hà Nội.""']",['Temporarily closed'],Place of worship,"69PW+GWX, Thôn Tri Lai, Xã Đồng Thái,"
32,Quán 559,4.2,(34),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,"3CX2+2R7, Vườn Quốc Gia"
33,Trạm y tế xã Đồng Thái,3.5,(2),None,[],['Open now'],Local medical services,"69GW+JC8, ĐT93"
34,559 Restaurant Ba Vi,4.3,(263),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",None,None
