,name,stars,review,price,note,open_time,restautant_type,address
0,Tiên Sa Restaurant,None,None,None,['Dine-in'],[],None,None
1,Quán Ăn Vặt Hà Nội,3.5,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,2RMJ+53H
2,Yamato,None,None,None,"['Dine-in', 'Takeout']",[],None,None
3,Quán Phở Thu Hà,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,41 P. Phan Phù Tiên
4,What the B Restaurant,4.6,(27),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Asian,23 P. Ngô Tất Tố
5,Mỳ Chua Cay,3.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
6,Banh Cuon 3 Chi Em,4.2,(15),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6:30\u202fAM Sat']",Mung bean pancake,17 P. Phan Phù Tiên
7,Quán bia 56,5.0,(1),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,2RGP+PHH
8,Hà Diệp Quán,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
9,Nhà A Phong,None,None,None,['Dine-in'],[],None,None
10,Quán Ẩm Thực phố Cổ,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
11,Vườn bia Tuốn Phởn,None,None,None,['Dine-in'],['Open 24 hours'],Restaurant,2RHM+4M3
12,Thu Huong,None,None,None,['Dine-in'],[],None,None
13,Nhà Hàng 56,None,None,None,['Dine-in'],"['Open', ' ⋅ Closes 9:30\u202fPM']",Restaurant,56 P. Quốc Tử Giám
14,phở A. Bảo,4.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
15,Chio Steak Coffer &amp; Drinks,None,None,None,"['Dine-in', 'Takeout']",[],None,None
16,Phở Thanh Hoa,4.0,(59),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Sat']",Pho,47 P. Văn Miếu
17,NỘM 3 MIỀN,4.8,(4),None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
18,Cơm Tấm Sườn Nướng,2.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,29 P. Phan Phù Tiên
19,Quán Bia Hơi Hà Nội Thanh Thư,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
