,name,stars,review,price,note,open_time,restautant_type,address
0,Tiên Sa Restaurant,None,None,None,['Dine-in'],[],None,None
1,Quán Ăn Vặt Hà Nội,3.5,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,2RMJ+53H
2,Yamato,None,None,None,"['Dine-in', 'Takeout']",[],None,None
3,Quán Phở Thu Hà,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,41 P. Phan Phù Tiên
4,What the B Restaurant,4.6,(27),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Asian,23 P. Ngô Tất Tố
5,Mỳ Chua Cay,3.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
6,Banh Cuon 3 Chi Em,4.2,(15),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6:30\u202fAM Sat']",Mung bean pancake,17 P. Phan Phù Tiên
7,Quán bia 56,5.0,(1),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,2RGP+PHH
8,Hà Diệp Quán,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
9,Nhà A Phong,None,None,None,['Dine-in'],[],None,None
