,name,stars,review,price,note,open_time,restautant_type,address
0,A Bản - 𝐌𝐨𝐮𝐧𝐭𝐚𝐢𝐧 𝐃𝐞𝐰 -,4.6,(135),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 2\u202fPM ⋅ Reopens 5\u202fPM']",Vietnamese,76 P. Trần Phú
1,Pao Quán Giảng Võ,4.0,(415),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,78 P. Giảng Võ
2,Phở Phú,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Sat']",Pho,"Ngõ 135, Hồ Đầm Tròn"
3,Essence Restaurant,4.8,"(2,017)",None,"['The 10 Best Restaurants in Hanoi, Vietnam']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,38A P. Trần Phú
4,Pi Tơ Cafe,3.0,(1),None,['Dine-in'],[],None,None
5,CityFood,4.5,(24),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"Trung tâm chiếu phim Quốc Gia (cổng, 378 P. Thái Hà"
6,Cửa Hàng Hoa Quả Sạch Việt Nam,None,None,None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Restaurant,"Kiot 74, Trần Quý Cáp, Quận Đống Đa, Thành Phố Hà Nội"
7,Cửa Hàng Rau An Toàn Hapro Food,3.3,(10),None,"['Dine-in', 'Takeout']",[],None,None
8,Hai Su Restaurant,4.1,(536),None,"['Dine-in', 'Takeout', 'No-contact delivery']",['Open 24 hours'],Restaurant,111-k1 P. Giảng Võ
9,CCCP Café &amp; Restaurant,4.3,(426),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 2\u202fPM ⋅ Reopens 5:30\u202fPM']",Russian,"103, Nha TT Mac-Lenin Ngõ 84 Phố Ngọc Khánh, Ng. 84 P. Ngọc Khánh"
10,Sushibar Restaurant,4.4,(261),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Sushi,107 A5 P. Kim Mã
11,The Hawker,3.9,(26),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,16 P. Trịnh Hoài Đức
12,Cafe &amp; Restaurant,None,None,None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
13,Mint Bar,4.5,(6),None,"['Dine-in', 'Takeout']",[],None,None
14,COCA Restaurant - Thai Favorite &amp; Hotpot,4.3,(511),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 2:30\u202fPM ⋅ Reopens 5:30\u202fPM']",Thai,75 P. Láng Hạ
15,May Mắn Restaurant,4.1,(35),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fPM ⋅ Reopens 5:30\u202fPM']",Chinese,"Fortuna Hotel, 6B P. Láng Hạ"
