,name,stars,review,price,note,open_time,restautant_type,address
0,Nhà hàng Hoa Hồng,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Lunch,"2RMJ+492, Vường hồng, Thôn yêm"
1,Hà Diệp Quán,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
2,Tiệm Mỳ Tiên Sơn - Noodles and Dimsum,4.9,(66),None,"['Dine-in', 'Drive-through', 'Delivery']","['Closed', ' ⋅ Opens 5\u202fPM']",Restaurant,2 Ng. Huyện
3,MỲ TAY TO,4.3,(93),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 5\u202fPM']",Restaurant,38 P. Bà Triệu
4,The Veg - organic vego &amp; tea,4.2,(335),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,48 Tràng Tiền
5,Hanoi Street Food Restaurant,4.0,(4),None,"['Dine-in', 'Takeout']",[],None,None
6,Huyền,None,None,None,"['Dine-in', 'Takeout']",[],None,None
7,Cửa Hàng Rau An Toàn Hapro Food,3.3,(10),None,"['Dine-in', 'Takeout']",[],None,None
8,A Bản - 𝐌𝐨𝐮𝐧𝐭𝐚𝐢𝐧 𝐃𝐞𝐰 -,4.6,(136),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Closed', ' ⋅ Opens 5\u202fPM']",Vietnamese,76 P. Trần Phú
9,CCCP Café &amp; Restaurant,4.3,(426),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Closed', ' ⋅ Opens 5:30\u202fPM']",Russian,"103, Nha TT Mac-Lenin Ngõ 84 Phố Ngọc Khánh, Ng. 84 P. Ngọc Khánh"
10,𝟓𝟎 𝐁𝐢𝐬𝐭𝐫𝐨 - 𝐑𝐞𝐬𝐭𝐚𝐮𝐫𝐚𝐧𝐭 &amp; 𝐂𝐚𝐟𝐞́,4.9,(23),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,50 Đ. Nguyễn Chí Thanh
11,SpaghettiBox Restaurant,4.2,(795),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,10 ngõ 12 P. Núi Trúc
12,Essence Restaurant,4.8,"(2,018)",None,"['The 10 Best Restaurants in Hanoi, Vietnam']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,38A P. Trần Phú
13,Chic Restaurant,4.3,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"2RHP+GV6, P. Nguyễn Khuyến"
14,Bancông Restaurant,4.8,"(1,359)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,Số 2 P. Đinh Liệt
15,Pine &amp; Dine Skybar and Restaurant,4.5,(103),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11:30\u202fPM']",Restaurant,27 P. Lò Sũ
16,Cơm Rang Dưa Bò,3.6,(21),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,8 Ng. Tràng Tiền
17,Vietnamese Restaurant &amp; Vegan - Cai Mam 2,4.7,(158),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,23 P. Đào Duy Từ
18,Panorama restaurant,4.3,(52),None,"['Dine-in', 'Takeout']","['Opens soon', ' ⋅ 3\u202fPM']",Restaurant,13 P. Lý Thái Tổ
19,Café Tiến,4.0,(2),None,['Dine-in'],[],None,None
