,name,stars,review,price,note,open_time,restautant_type,address
0,Sky Coffee,3.8,(410),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,6R65+94C
1,Sơn Black - Cao Phoong - Phú Cường - Sóc Sơn - Hà Nội,None,None,None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 12\u202fAM Sat']",Family-friendly,6R62+872
2,Lucky Restaurant &amp; Cafe,3.4,(59),None,"['Dine-in', 'Takeout']",[],None,None
3,Nhà Hàng Phù Đổng,4.5,(114),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Thôn
4,Nhà Hàng Hải Nga,3.9,(205),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",None,None
5,Tuấn Minh restaurant,3.9,(142),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Đường Phù Đổng Tổ 7
6,Gà Thả Đồi,4.6,(18),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 6\u202fPM']",Restaurant,8QJH+2VG
7,Lucky Restaurant,2.2,(56),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fAM']",Restaurant,"Terminal 1, Sân bay quốc tế Nội Bài"
8,Cafe Nấm,4.6,(45),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,"Km6+300, QL2"
9,"phù mã, phù linh, sóc sơn, Hà Nội",None,None,None,[],[],None,None
10,Komoni Bisro Cafe,3.5,(2),None,['Dine-in'],[],None,None
11,Cafe’ Phố Huyện,5.0,(41),None,['Dine-in'],"['Open', ' ⋅ Closes 10\u202fPM']",Cafe,34 Đa Phúc
12,Sky Cafe Fastfood,2.3,(61),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Fast Food,"2-D5D6, tầng 2, Khu cách ly Quốc tế đi, nhà ga T1, Sân bay Nội Bài"
13,Lucky Cafe 1,3.5,(164),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Cafe,"Nhà ga đến nội địa, Bãi đỗ xe"
14,Gia Restaurant,4.6,(90),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 6\u202fPM']",Fine Dining,61 P. Văn Miếu
15,What the B Restaurant,4.6,(27),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Asian,23 P. Ngô Tất Tố
16,Palm Cafe,3.4,(16),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Cafe,"6R82+87F, sảnh e sân bay nội bài"
17,Phở Phú,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Sat']",Pho,"Ngõ 135, Hồ Đầm Tròn"
18,UBND xã Phú Cường,4.2,(9),None,[],['Open now'],Local government office,6Q4Q+G74
19,Lẩu Thái 126 Cơ Sở 2,3.9,(35),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Restaurant,9 P. Ngô Tất Tố
