,name,stars,review,price,note,open_time,restautant_type,address
0,Hà Nội Quán Hoa Sữa,4.2,(32),None,"['Dine-in', 'Takeout', 'Delivery']","['Opens soon', ' ⋅ 7:30\u202fAM']",Restaurant,XR89+W7P
1,Cửa Hàng Hoa Quả Ánh Tuyết,None,None,None,['Dine-in'],[],None,None
2,Hà Diệp Quán,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
3,Cafe Mộc Hoa Trà,2.0,(2),None,['Dine-in'],[],None,None
4,Lương Sơn Restaurant,3.9,"(1,432)",None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM']",Restaurant,1 P. Quan Nhân
5,Quán chó và mèo,5.0,(2),None,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Restaurant,tổ 11
6,Quán Đồ Nướng Than Hoa Lẫn,4.2,(123),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 6\u202fPM']",Restaurant,55b Đại Cồ Việt
7,Xã Đàn Quán,4.0,(2),None,['Dine-in'],"['Closed', ' ⋅ Opens 9\u202fAM']",Restaurant,210 P. Xã Đàn
8,...,4.2,(31),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,Ngõ 570 Đ. Kim Giang
9,Street Food,3.4,(9),None,"['Dine-in', 'Takeout']",[],None,None
10,Quán Cơm Bình Dân,3.7,(107),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,Đường P. Ngũ Nhạc
11,Quán rượu Ốc Núi,3.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 5\u202fPM']",Asian,74 Đ.Tân Triều
12,Nhà Hàng Nguyễn Thị Hảo,4.1,(14),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 8\u202fAM']",Brunch,XRJ2+QC3
13,Nhất Cháo Quán,4.2,(994),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 8\u202fAM']",Porridge restaurant,Ng. Thái Thịnh 1/1 P. Hoàng Đạo Thúy
14,Bít tết bò cây nhãn,4.5,(22),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 9:30\u202fAM']",Bistro,"131 Khu tập thể Tổng cục V, Tân Triều, Thanh Trì, Hà Nội, Việt Nam"
