,name,stars,review,price,note,open_time,restautant_type,address
0,Quán rượu Ốc Núi,3.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 5\u202fPM']",Asian,74 Đ.Tân Triều
1,Quán Morning Tea,None,None,None,"['Dine-in', 'Takeout']",[],None,None
2,TIDA FOOD,None,None,None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,Số 28 Ngõ 118 Đường Tân Triều
3,Công Ty TNHH Tổng Hợp Tín Nghĩa Hà Nội,None,None,None,['Dine-in'],[],None,None
4,Bít tết bò cây nhãn,4.5,(22),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 9:30\u202fAM']",Bistro,"131 Khu tập thể Tổng cục V, Tân Triều, Thanh Trì, Hà Nội, Việt Nam"
5,Hải Sản Cô Tô,None,None,None,"['Dine-in', 'Takeout']",[],None,None
6,Cafe Hè Phố,None,None,None,['Dine-in'],[],None,None
7,Tit Mit Quán,5.0,(1),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 11\u202fAM']",Restaurant,66 P. Triều Khúc
8,Nhà Hàng Thế Mỹ,3.0,(2),None,"['Dine-in', 'Takeout']",[],None,None
9,Nhà hàng Thắng cố ngựa,3.8,(4),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,ngách 29 Ng. 100 Đ. Nguyễn Xiển
10,Hà Nội Quán Hoa Sữa,4.2,(32),None,"['Dine-in', 'Takeout', 'Delivery']","['Opens soon', ' ⋅ 7:30\u202fAM']",Restaurant,XR89+W7P
11,Coffee Phố Đêm,4.5,(19),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11:30\u202fPM']",Restaurant,"8, Thôn Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Thành Phố Hà Nội"
12,Tiến Đạt,5.0,(1),None,['Dine-in'],[],None,None
13,Bún riêu 68,5.0,(1),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Family-friendly,96 Ng. 68 P. Triều Khúc
14,Nhà Hàng Nguyễn Thị Hảo,4.1,(14),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 8\u202fAM']",Brunch,XRJ2+QC3
15,Phở Việt,3.8,(57),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Lô D5-7 Cụm làng nghề tập trung
16,NHÀ HÀNG MINH THÔNG,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Restaurant,137 P. Thanh Lân
17,Quán Thịt Chó Lâm Tới,3.7,(20),None,"['Dine-in', 'Takeout', 'Delivery']",['Open 24 hours'],Restaurant,121 Đ. Yên Xá
18,Street Food,3.4,(9),None,"['Dine-in', 'Takeout']",[],None,None
19,Cơm Tấm Sườn Nướng - QuaHaFood,None,None,None,"['Dine-in', 'Takeout']",[],None,None
