,name,stars,review,price,note,open_time,restautant_type,address
0,Bánh đa cá rô đồng Phủ Lý (112 B9 Tô Hiệu),None,None,None,[],"['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,112 P. Tô Hiệu
1,Tô Hiệu Quán,4.4,(56),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,108-D5 Ngõ 215 Tô Hiệu
2,Kiều Hoa Quán,4.2,(460),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10:30\u202fAM']",Restaurant,291 P. Tô Hiệu
3,Lẩu nướng Won Won Tô Hiệu,3.8,(138),None,['Dine-in'],"['Closed', ' ⋅ Opens 10\u202fAM']",Restaurant,123-C5 P. Tô Hiệu
4,Cơm Rang Tô Hiệu,4.0,(2),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,118 P. Tô Hiệu
5,Bún đậu cô Quỳnh,None,None,None,[],[],None,None
6,Sushi Việt,None,None,None,[],[],None,None
7,Quán Phở Hưng,4.1,(82),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,5 P. Tô Hiệu
8,162 Tô Hiệu,None,None,None,['Dine-in'],[],None,None
9,Taetna Tacos Pháp - Tô Hiệu,4.3,(54),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']",['Open 24 hours'],Fast Food,221 ngách 1 ngõ 223 P. Tô Hiệu
