,name,stars,review,price,note,open_time,restautant_type,address
0,Lương Sơn Restaurant,3.9,"(1,432)",None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,1 P. Quan Nhân
1,6 Degrees,4.3,"(1,323)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,189 Nghi Tàm
2,Long Phụng Restaurant,4.2,(602),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Chinese,29T2 P. Hoàng Đạo Thúy
3,Quán Trà Nghệ Thuật Trung Hoa,3.5,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"64, Chùa Láng, Quận Đống Đa, Thành Phố Hà Nội"
4,Hoa Lo Restaurant,4.1,(310),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Ngõ 374 Đ. Âu Cơ
5,Cafe &amp; Restaurant,None,None,None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
6,Hà Diệp Quán,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
7,EMM's French Bistro,4.5,(260),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 2:30\u202fPM ⋅ Reopens 5\u202fPM']",French,28 P. Đỗ Quang
8,Campus Cafe,4.7,(19),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,47 P. Phan Kế Bính
9,Ha Noi 2 Pho Restaurant,4.5,(2),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",African,"19/5 Street, 36, 19/5 Apartment The Police, Van Quan Ward, Ha Dong Distric"
10,Café Tiến,4.0,(2),None,['Dine-in'],[],None,None
11,Tâm Chay Vegan Restaurant,4.5,(156),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 2:30\u202fPM ⋅ Reopens 5\u202fPM']",Vegan,"Nhà B3, Khu Nhà ở để bán Mễ Trì, Số, 2 Đỗ Đức Dục"
12,Sông Quê Restaurant,3.9,(542),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,"Mandarin Garden Apartments, Block B, Tầng 1 Ô B5, 1 Đ. Hoàng Minh Giám"
13,Grille6 Steakhouse,4.3,(635),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,184 P. Hào Nam
14,Nhớ Cafe,None,None,None,['Dine-in'],[],None,None
15,Cafe Mộc Hoa Trà,2.0,(2),None,['Dine-in'],[],None,None
16,Cutisun Steak House 2,4.1,(615),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,38 P. Đỗ Quang
17,Dong Giang Restaurant 5,4.0,(239),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"Số 30 LK11A, Số 30LK11A"
18,No Rang Tong Dak Restaurant,4.2,(190),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,23B LÔ A 10
19,A Phủ BBQ,3.3,(100),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Barbecue,"106, Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Thành Phố Hà Nội"
