,name,stars,review,price,note,open_time,restautant_type,address
0,Container Quán Hải Sản,3.8,(5),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Restaurant,PQP9+C5R
1,CHẢ VỊT VÂN ĐÌNH - THÚY MẠNH,None,None,None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,PQMC+F5M
2,Nhà Hàng Thiên Phú,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']",[],None,None
3,Nhà Hàng 168,4.5,(20),None,"['Dine-in', 'Takeout', 'No-contact delivery']",['Open 24 hours'],None,None
4,Nhà Hàng Trường Xuân,4.1,(44),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,Dốc QL21B
5,Gỏi cá Quan Sơn,5.0,(2),None,"['Dine-in', 'Takeout']",[],None,None
6,Nhà Hàng Thu Hà,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
7,Việt Soup,None,None,None,"['Dine-in', 'Takeout']",[],None,None
8,Vườn Ăn Thiên Đường,4.3,(10),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,"PQFF+FRC, Unnamed Road"
9,Quán Thịt Chó Sơn Yến,4.0,(9),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,PQJ8+JHV
10,Quán Công Lợi,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']",[],None,None
11,Nhà Hàng 286 Thắng Cố Ngựa,3.9,(9),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,QQ68+PF7
12,Phở Đạt,None,None,None,"['Dine-in', 'Takeout']",[],None,None
13,Bia Hơi Huấn Đà,4.6,(11),None,"['No dine-in', 'No takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Thôn Đống Vũ
14,Nhà Hàng Cơm Quê,4.2,(16),None,"['Dine-in', 'Takeout']",[],None,None
15,Phở Bò Hà Nội,None,None,None,"['Dine-in', 'Takeout']",[],None,None
16,Hồ Cá Hải Gấm,4.6,(7),None,"['Dine-in', 'Delivery']",['Open 24 hours'],Restaurant,PQGW+2P3
17,Nhà hàng Thành Sáu,4.7,(6),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 4:30\u202fAM Sat']",Gastropub,28 QL21B
18,Quán Vịt Chung Sơn,4.1,(8),None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
19,Nhà Hàng Thu Tưởng,4.0,(2),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,81 Phố Hoàng Văn Thụ
20,Quán Ăn Thanh Thủy 52,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
21,Mộc 89 Bbq,None,None,None,"['Dine-in', 'Takeout']",[],None,None
