,name,stars,review,price,note,open_time,restautant_type,address
0,Dong Giang Restaurant 5,4.0,(239),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"Số 30 LK11A, Số 30LK11A"
1,Nhà Hàng Tài Trâu,4.1,(24),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 6\u202fPM']",Restaurant,"XQMC+X6R, Làng Nghề, Vạn Phúc, Quận Hà Đông, Thành Phố Hà Nội"
2,Ha Noi 2 Pho Restaurant,4.5,(2),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",African,"19/5 Street, 36, 19/5 Apartment The Police, Van Quan Ward, Ha Dong Distric"
3,Hoa Lan Restaurant,4.2,(235),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,"Q, Đường số 1/TT4 P"
4,"Bếp Thái Koh Yam - Tầng 2, TTTM AEON MALL Hà Đông, Hà Nội",4.6,(238),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Thai,TTTM AEON MALL
5,ĐÀ QUÁN,4.0,(53),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,Biệt thự số 32-tt3
6,Quán Cà Phê Gemy,3.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
7,Lo Xuan Quan Restaurant,1.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
8,Tâm Chay Vegan Restaurant,4.5,(156),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 2:30\u202fPM ⋅ Reopens 5\u202fPM']",Vegan,"Nhà B3, Khu Nhà ở để bán Mễ Trì, Số, 2 Đỗ Đức Dục"
9,Cửa Hàng Rau An Toàn Hapro Food,3.3,(10),None,"['Dine-in', 'Takeout']",[],None,None
10,Hoa Lo Restaurant,4.1,(310),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Ngõ 374 Đ. Âu Cơ
11,EMM's French Bistro,4.5,(260),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 2:30\u202fPM ⋅ Reopens 5\u202fPM']",French,28 P. Đỗ Quang
12,Café Tiến,4.0,(2),None,['Dine-in'],[],None,None
13,Cafe &amp; Restaurant,None,None,None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
14,Lương Sơn Restaurant,3.9,"(1,432)",None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,1 P. Quan Nhân
15,Nhà hàng Hà Nội Nhớ,3.8,(66),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 12\u202fAM']",Restaurant,"Căn 02-03 Khu T11, Đường số 2"
16,Lẩu Hoa Hà Nội,3.4,(10),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,56 TT2
17,6 Degrees,4.3,"(1,323)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,189 Nghi Tàm
18,Cafe Mộc Hoa Trà,2.0,(2),None,['Dine-in'],[],None,None
19,Quán Trà Nghệ Thuật Trung Hoa,3.5,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"64, Chùa Láng, Quận Đống Đa, Thành Phố Hà Nội"
