,name,stars,review,price,note,open_time,restautant_type,address
0,Hùng Hà Coffee &amp; Food,1.0,(1),None,"['Dine-in', 'Drive-through']","['Open', ' ⋅ Closes 7\u202fPM']",Restaurant,264 Đ. Âu Cơ
1,Nhà Hàng Mạnh Hùng,3.6,(238),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,164 P. Lê Trọng Tấn
2,Hung An,None,None,None,"['Dine-in', 'Takeout']",[],None,None
3,Quán Cơm An Hùng,None,None,None,"['Dine-in', 'Takeout']",[],None,None
4,Anh Em Hấu Hùng Quhn,4.5,(2),None,['Dine-in'],"['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,28 Ngõ 16 Đỗ Xuân Hợp
5,Hải sản Hùng Trường Sa,4.8,(112),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11:30\u202fPM']",Seafood,328 P. Thái Hà
6,Quán Cafe Hùng Cường,4.5,(4),None,"['Dine-in', 'Takeout']",[],None,None
7,Bia Hơi Hùng Dũng Cơ Sở 1,3.0,(3),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"Tu Liem, CN1 Khu"
8,The Dining Restaurant,4.5,(86),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fPM ⋅ Reopens 5\u202fPM']",Japanese,"Roygent Parks, 289 Khuất Duy Tiến"
9,Bia hơi Hùng Hiệp Cơ Sở 1,3.6,(5),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 12\u202fAM']",Restaurant,312 P. Tây Sơn
10,Nhà hàng Hà Nội Nhớ,3.8,(66),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 12\u202fAM']",Restaurant,"Căn 02-03 Khu T11, Đường số 2"
11,Bún chả Hùng Trang,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Barbecue,"kiôts 30, Tập thể Đại học Tài Chính"
12,Bánh Trung Thu Hùng Hà,5.0,(1),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,40 Đ. Xuân Đỉnh
13,Phở bò Tứ Hùng,4.3,(86),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,164 P. Yên Phụ
14,Nhà Hàng E9 Phạm Hùng Rừng Và Biển,4.5,(10),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']",[],None,None
15,Nhà hàng bia hơi Hùng Hiệp,5.0,(1),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Family-friendly,38 P. Tố Hữu
16,Bia hơi thịt chó thịt mèo Hùng,5.0,(1),None,['Dine-in'],[],None,None
17,Phở Hùng Phương,4.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
18,Cafe &amp; Restaurant,None,None,None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
19,Công Ty TNHH TM &amp; DV Hùng Đức,None,None,None,['Dine-in'],[],None,None
