,name,stars,review,price,note,open_time,restautant_type,address
0,Container Quán Hải Sản,3.8,(5),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Restaurant,PQP9+C5R
1,CHẢ VỊT VÂN ĐÌNH - THÚY MẠNH,None,None,None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,PQMC+F5M
2,Yamato,None,None,None,"['Dine-in', 'Takeout']",[],None,None
3,T&amp;Q Cafe,4.0,(36),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Cafe,PQP9+88H Trung Tâm Thương Mại
4,Phở Thanh Hoa,4.0,(59),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Sat']",Pho,47 P. Văn Miếu
5,Quán Vịt 88,None,None,None,"['Dine-in', 'Takeout']",[],None,None
6,Thu Huong,None,None,None,['Dine-in'],[],None,None
7,What the B Restaurant,4.6,(27),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Asian,23 P. Ngô Tất Tố
8,phở A. Bảo,4.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
9,Hà Diệp Quán,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
10,Chic Restaurant,4.3,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"2RHP+GV6, P. Nguyễn Khuyến"
11,Gia Restaurant,4.6,(90),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 1:30\u202fPM ⋅ Reopens 6\u202fPM']",Fine Dining,61 P. Văn Miếu
12,Quán Phở Thu Hà,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,41 P. Phan Phù Tiên
13,Café Sàn Gỗ Anh Thơ,5.0,(1),None,['Dine-in'],[],None,None
14,Hường Ốc,4.1,(233),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Seafood,33 P. An Trạch
15,Phở bò tuấn xuân,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Tiffin center,"Số 1 tổ 1 khu tân, Ng. Hòa Bình"
16,Cafe Tre Việt,None,None,None,['Dine-in'],[],None,None
17,CAFE H&amp;H,5.0,(2),None,['Dine-in'],"['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,5 P. Văn Miếu
18,Restaurant 18,3.0,(1),None,['Dine-in'],"['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Lane 18 P. Phan Văn Trị
19,Công Ty TNHH Trang Anh Nguyễn,None,None,None,['Dine-in'],[],None,None
20,Baby shop Minh Hiệp,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
21,Bia Hơi Huấn Đà,4.6,(11),None,"['No dine-in', 'No takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Thôn Đống Vũ
22,Nhà hàng Ẩm thực Việt,2.0,(1),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",None,None
23,Nhà hàng Yến Yến,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,PQP9+963
24,Gió Quán,None,None,None,"['Dine-in', 'Takeout']",['Open now'],None,None
25,Nhà Hàng 168,4.5,(20),None,"['Dine-in', 'Takeout', 'No-contact delivery']",['Open 24 hours'],None,None
26,Gỏi cá Quan Sơn,5.0,(2),None,"['Dine-in', 'Takeout']",[],None,None
27,Nướng ngói Vân Đình,5.0,(11),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 12\u202fAM']",Barbecue,PQM9+WQ3
28,Nhà Hàng Thiên Phú,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']",[],None,None
29,Bia Đen,5.0,(3),None,"['Dine-in', 'Drive-through', 'No-contact delivery']",[],None,None
30,Nhà Hàng Thu Hà,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
31,Việt Soup,None,None,None,"['Dine-in', 'Takeout']",[],None,None
32,Nhà Hàng Thu Tưởng,4.0,(2),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,81 Phố Hoàng Văn Thụ
33,Nhà Hàng Gà Tươi Mạnh Hoạch,5.0,(2),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,"PQP9+684, Trung Tâm Thương Mại Thị Trấn Vân Đình"
34,Vân Anh,5.0,(1),None,['Dine-in'],[],None,None
35,Nhà Hàng 286 Thắng Cố Ngựa,3.9,(9),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,QQ68+PF7
36,Trung tâm sự kiện tiệc cưới - Cafe - Karaok Diamond,None,None,None,['Dine-in'],[],None,None
37,Bún Bò Huế A Thắng,None,None,None,[],"['Closed', ' ⋅ Opens 5\u202fAM Sat']",Family-friendly,128 Đ. Lê Lợi
38,Thế Năng Quán,None,None,None,"['Dine-in', 'Takeout']",[],None,None
