,name,stars,review,price,note,open_time,restautant_type,address
0,Tân hoàng mai,5.0,(2),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 5\u202fPM']",Restaurant,"khu Pandora, 53 P. Triều Khúc"
1,Lẩu nướng Won Won Tô Hiệu,3.8,(139),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,123-C5 P. Tô Hiệu
2,Quán Cà Phê Trung Hiếu,None,None,None,['Dine-in'],[],None,None
3,Cafe Mộc Hoa Trà,2.0,(2),None,['Dine-in'],[],None,None
4,Lương Sơn Restaurant,3.9,"(1,432)",None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,1 P. Quan Nhân
5,Tao Pho Nghia Tan Food Stall,4.5,(2),None,"['Dine-in', 'Takeout']",[],None,None
6,Quán Dream Cafe,None,None,None,"['Dine-in', 'Takeout']",[],None,None
7,Nhà Hàng Anh Hòa,4.0,(734),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,429 Đ. Âu Cơ
8,Quán Trà Nghệ Thuật Trung Hoa,3.5,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"64, Chùa Láng, Quận Đống Đa, Thành Phố Hà Nội"
9,House Coffee,4.4,(14),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"349/192, Lê Trọng Tấn, Quận Hoàng Mai, Thành Phố Hà Nội"
10,Cousins Restaurant Đào Tấn,4.3,(317),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,7 ngõ 58 Đào Tấn
11,Hoa Lo Restaurant,4.1,(310),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Ngõ 374 Đ. Âu Cơ
12,Tân Bình Quán,None,None,None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11:30\u202fPM']",Restaurant,14 Ng. 183 Đặng Tiến Đông
13,Café Tiến,4.0,(2),None,['Dine-in'],[],None,None
14,Quán Boong Hây,4.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
15,Hà Diệp Quán,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
16,Cháo Lươn Nghệ An Bà Lan - 173 Hoàng Hoa Thám - Hà Nội,4.5,(4),None,"['Dine-in', 'Takeout']",[],None,None
17,Cafe &amp; Restaurant,None,None,None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
18,EMM's French Bistro,4.5,(260),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 2:30\u202fPM ⋅ Reopens 5\u202fPM']",French,28 P. Đỗ Quang
19,Quán Ăn Ngon Restaurant Trung Hòa,4.1,"(2,331)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9:30\u202fPM']",Vietnamese,"Tầng 1 Tòa nhà 25T2 Hoàng Đạo Thúy, P. Nguyễn Thị Thập"
