,name,stars,review,price,note,open_time,restautant_type,address
0,Quán Bia Hơi Hà Nội Thanh Thư,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
1,What the B Restaurant,4.6,(27),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Asian,23 P. Ngô Tất Tố
2,Cửa Hàng Rau An Toàn Hapro Food,3.3,(10),None,"['Dine-in', 'Takeout']",[],None,None
3,Quán Bia Hơi Hà Nội Hằng,3.6,(5),None,"['Dine-in', 'Takeout']",[],None,None
4,phở THắng,4.3,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Sat']",Restaurant,243 Ng. Văn Chương
5,Gia Restaurant,4.6,(90),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 6\u202fPM']",Fine Dining,61 P. Văn Miếu
6,Dat Coffee Shop,3.3,(9),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,"6, Hồ Văn Chương, Quận Đống Đa"
7,Phở Bò Sốt Vang,4.5,(6),None,"['Dine-in', 'Takeout']",[],None,None
8,Au Lac Vegetarian Restaurant,4.3,(81),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 7\u202fPM']",Vegetarian,277 Ng. Văn Chương
9,Lươn Nghệ An 68,5.0,(2),None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
10,Meow Bakery,5.0,(3),None,"['Dine-in', 'Takeout']",[],None,None
11,Quán Ẩm Thực phố Cổ,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
12,"Quán Mì Vằn Thắn, Sủi Cảo, Hủ Tíu",4.3,(7),None,"['Dine-in', 'Takeout']",[],None,None
