,name,stars,review,price,note,open_time,restautant_type,address
0,Quán Bia Hơi Hà Nội Thanh Thư,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
1,What the B Restaurant,4.6,(27),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Asian,23 P. Ngô Tất Tố
2,Cửa Hàng Rau An Toàn Hapro Food,3.3,(10),None,"['Dine-in', 'Takeout']",[],None,None
3,Quán Bia Hơi Hà Nội Hằng,3.6,(5),None,"['Dine-in', 'Takeout']",[],None,None
4,phở THắng,4.3,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Sat']",Restaurant,243 Ng. Văn Chương
5,Gia Restaurant,4.6,(90),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 6\u202fPM']",Fine Dining,61 P. Văn Miếu
6,Dat Coffee Shop,3.3,(9),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,"6, Hồ Văn Chương, Quận Đống Đa"
7,Phở Bò Sốt Vang,4.5,(6),None,"['Dine-in', 'Takeout']",[],None,None
8,Au Lac Vegetarian Restaurant,4.3,(81),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 7\u202fPM']",Vegetarian,277 Ng. Văn Chương
9,Lươn Nghệ An 68,5.0,(2),None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
10,Meow Bakery,5.0,(3),None,"['Dine-in', 'Takeout']",[],None,None
11,Quán Ẩm Thực phố Cổ,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
12,"Quán Mì Vằn Thắn, Sủi Cảo, Hủ Tíu",4.3,(7),None,"['Dine-in', 'Takeout']",[],None,None
13,Giò chả Mai Hương,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Family-friendly,2 Ngách 33 Ng. Văn Chương 2
14,Phở Lực,3.5,(12),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,190 Ng. Văn Chương
15,Nhà Hàng 56,None,None,None,['Dine-in'],"['Open', ' ⋅ Closes 9:30\u202fPM']",Restaurant,56 P. Quốc Tử Giám
16,Pho 17 Ho Van Chuong,4.9,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 5:30\u202fAM Sat']",Pho,17 P. Hồ Văn Chương
17,Xôi cô Thanh,4.8,(12),None,"['Dine-in', 'Takeout', 'Delivery']","['Opens soon', ' ⋅ 3:30\u202fPM']",Restaurant,281 Ng. Văn Chương
18,Lẩu Hồ Quán,1.3,(4),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,2RCM+WFP
19,Quán Phở Hà Lệ,None,None,None,"['Dine-in', 'Takeout']",[],None,None
20,Bếp Trường Lee,5.0,(1),None,"['Dine-in', 'Takeout', 'Delivery']",['Open 24 hours'],Restaurant,107 Ng. Văn Chương
21,Phở bò 17,4.0,(3),None,"['Dine-in', 'Takeout']",[],None,None
22,Nhà Hàng Điện Biên Phủ,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
23,Nhà Hàng Mường Lát,4.4,(8),None,"['Dine-in', 'Takeout']",[],None,None
24,Bia hơi sang thơm,4.0,(2),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,34 P. Hồ Văn Chương
25,Quán Ăn Hồng Loan,None,None,None,"['Dine-in', 'Takeout']",[],None,None
26,Bơ Food- Ngõ 27 Văn Chương 1,None,None,None,"['Dine-in', 'Takeout']",[],None,None
27,Bia Hơi Hiển Hương,None,None,None,"['Dine-in', 'Takeout']",[],None,None
28,Mỳ Vằn Thắn Cổ Truyền 0942566900,4.3,(3),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,70 Ng. Văn Chương
29,La Meal O'Ma Restaurant,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Restaurant,14 P. Hồ Văn Chương
