,name,stars,review,price,note,open_time,restautant_type,address
0,People's Committee of Trung Lap Upper Commune,4.8,(12),None,[],[],Local government office,3F23+F39
1,Xã Trung lập thượng- Huyện Củ Chi,4.6,(5),None,[],[],Housing society,06 Đường 708
2,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"3F42+MGH, Unnamed Road"
3,Trung Lap Thuong Primary School,4.2,(10),None,[],['Open 24 hours'],School,499Trung Lập
4,Trạm Y Tế Xã Trung Lập Thượng,4.5,(2),None,[],[],Community health centre,83 Trung Lập
5,Nhà của Tép Tôm,None,None,None,['Dine-in'],[],Restaurant,"C2/34e5, Bầu Gốc"
6,Út Phải,None,None,None,['Dine-in'],[],Restaurant,"PHHM+9X8, Đ. Trần Đại Nghĩa"
7,Quán Ăn Tâm Phúc,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"B12/5A, Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, Thành Phố Hồ Chí Minh, Thành Phố Hồ Chí Minh"
8,Quán Café Cu Bin,4.8,(9),None,['Dine-in'],"['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"B5/17A, Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, Thành Phố Hồ Chí Minh, Thành Phố Hồ Chí Minh"
9,Quán ăn sáng Vũ Hân,4.0,(1),None,"['Dine-in', 'Takeout']","['Closes soon', ' ⋅ 10\u202fAM ⋅ Opens 5:30\u202fAM Sat']",Bistro,"PHCW+JX7, Đ. Trần Đại Nghĩa"
10,Tha La Quán 1,3.8,(118),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Vietnamese,"PHHP+28P, Đ. Trần Đại Nghĩa"
11,Nguyen Thi Anh Hong Street Food,3.8,(11),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Hawker stall,"B7/5C, Khuat Van Buc Street, Tan Kien Commune, Binh Chanh District"
12,Linh Quán,4.8,(5),None,"['Dine-in', 'Takeout']",[],Bistro,C11/F11 Ấp 3
13,Quán Phở A Thêm,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,1494 Nguyễn Cửu Phú
14,Quán Ăn 49,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,964 Nguyễn Cửu Phú
15,Ốc Thanh,4.5,(6),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 5\u202fPM']",Restaurant,"PHFQ+X87, Đường Số 10"
16,Quán cơm sáng trưa Sân Vườn,4.0,(3),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 3\u202fPM']",Bistro,"PH8F+V8P, Bông Văn Dĩa"
17,Quán Dê Tơ A Sẻn,4.0,(18),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Seafood,297 Nguyễn Cửu Phú
18,A4/5 Nguyễn Cửu Phú,3.0,(1),None,['Dine-in'],"['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,A4/5 Nguyễn Cửu Phú
19,Truong Tien Dung Street Food,4.1,(10),None,"['Dine-in', 'Drive-through']","['Open', ' ⋅ Closes 9\u202fPM']",Fast Food,"B8/2b, Hamlet 2, Tan Kien Commune, Binh Chanh District"
20,Tư kế,4.3,(33),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,223 Hưng Nhơn
21,Cháo lòng tiết canh,3.5,(4),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 4:25\u202fPM']",Restaurant,PHHM+H8H
22,Bún Riêu Cô Liên,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 7:30\u202fPM']",Bistro,PH6J+F82
23,Cơm tấm Cô Chi,5.0,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 12:30\u202fPM']",Family-friendly,13B Liên tổ 5-8
24,"Quán Ốc 33 ( Lẫu &amp; Ốc),(火锅和海鲜)",5.0,(3),None,"['Dine-in', 'Takeout']",[],Restaurant,7 Đ. Số 5
