,name,stars,review,price,note,open_time,restautant_type,address
0,People's Committee of Trung Lap Upper Commune,4.8,(12),None,[],[],Local government office,3F23+F39
1,Xã Trung lập thượng- Huyện Củ Chi,4.6,(5),None,[],[],Housing society,06 Đường 708
2,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"3F42+MGH, Unnamed Road"
3,Trung Lap Thuong Primary School,4.2,(10),None,[],['Open 24 hours'],School,499Trung Lập
4,Trạm Y Tế Xã Trung Lập Thượng,4.5,(2),None,[],[],Community health centre,83 Trung Lập
5,QUÁN SÁU GÀ,3.4,(5),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Bistro,2FWQ+Q3P
6,Quán ăn Nhuận Đức,3.7,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10:30\u202fAM Fri']",Bistro,652b Nguyễn Thị Rành
7,Quán Hà,5.0,(1),None,"['Dine-in', 'Takeout']",[],Bistro,364a
8,Quán Út Linh,4.5,(2),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,522 Nguyễn Thị Rành
9,Quán Tưởng Vy,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,"2FJP+H93, Nguyễn Thị Rành"
10,Vườn Hoa Lan Anh Tuấn,None,None,None,['Dine-in'],[],Restaurant,"2FQP+F5F, Nguyễn Thị Rành"
11,Tài Anh Tám) Quán Ăn Cơm- Hải Sản,4.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,"2FMP+GW4, Bà Thiên"
12,Nhà Rường Nguyễn - Huỳnh,5.0,(4),None,"['Dine-in', 'Takeout']",[],Restaurant,45 Đoàn Thị Mối
13,Quán Ăn Gia Đình Thanh Điền,4.2,(21),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,41 Đ. Đỗ Đăng Tuyển
14,Quán ăn Đông,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 5\u202fAM Fri']",Breakfast,329 Nhuận Đức
15,Bò tơ Hảo Hảo,4.1,(216),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 8:20\u202fAM Fri']",Restaurant,"2FRP+C39, Nguyễn Thị Rành"
16,Bán phở,None,None,None,"['Dine-in', 'Takeout']",[],Bistro,638 Nguyễn Thị Rành
17,Quán Lươn (Ngoc Hà),4.3,(13),None,"['Dine-in', 'Takeout']",[],Restaurant,2F9J+F5P
18,Lẩu Dê Gia Truyền Út Nghĩa,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,75 Góc Chàng
19,Quán Tư Khử,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,170 Bà Thiên
20,Cháo Cá và Bánh Xèo,4.5,(2),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 12\u202fPM Fri']",Restaurant,2FPP+7H3
21,Quán Cơm Yến Vy Củ Chi,4.5,(10),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Bistro,536 Nguyễn Thị Rành
22,"Bún riêu cua, canh bún 5 Sự",None,None,None,"['Dine-in', 'Takeout']",[],Bistro,631b Nguyễn Thị Rành
23,Quán Kiều Diễm,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,"2FJP+J96, Nguyễn Thị Rành"
24,Khu du lịch sinh thái dân tộc thiểu số,3.8,(12),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,"2FHV+WJJ, đường 522"
