,name,stars,review,price,note,open_time,restautant_type,address
0,People's Committee of Trung Lap Upper Commune,4.8,(12),None,[],[],Local government office,3F23+F39
1,Xã Trung lập thượng- Huyện Củ Chi,4.6,(5),None,[],[],Housing society,06 Đường 708
2,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"3F42+MGH, Unnamed Road"
3,Trung Lap Thuong Primary School,4.2,(10),None,[],['Open 24 hours'],School,499Trung Lập
4,Trạm Y Tế Xã Trung Lập Thượng,4.5,(2),None,[],[],Community health centre,83 Trung Lập
5,quán ăn Minh Trưc TRan,4.0,(9),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,2C39+HMR
6,Quán ăn,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,03 Đường số 648
7,Quán cơm dạo,5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,10 Đường số 648
8,Quán Cơm Tấm 8542,4.3,(3),None,"['Dine-in', 'Takeout']",[],Restaurant,"2C76+MM5, QL22"
9,Quán Phố Xưa,3.9,(17),None,['Dine-in'],"['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,"Tổ 2 676, Tỉnh lộ 7"
10,Quán Ăn An Khê,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,"2C4F+QGC, QL22"
11,Quán Cơm Cò Sang,None,None,None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,"2C3M+GF6, QL22"
12,Quán Phở Thu Hà,3.9,(328),None,"['Dine-in', 'Takeout']","['Closes soon', ' ⋅ 12\u202fAM ⋅ Opens 8\u202fAM Fri']",Bistro,"2C76+Q4C, QL22"
13,Phở Tái - Năm - Viện,5.0,(1),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,"2C4H+P7X, Tỉnh lộ 7"
14,Quán PhỞ TRUNG EM,5.0,(1),None,"['Dine-in', 'Takeout', 'No-contact delivery']",[],Bistro,1079D- ấp mây đắng
15,Gà Nướng Vườn Tràm Củ Chi,None,None,None,['Dine-in'],[],Restaurant,"2C5G+HQ3, Đường số 647"
16,Quán Chay Bồ Đề Tự Chọn 10 Ngàn,5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,126 Đường số 641
17,Chả cá mè dảnh,None,None,None,"['Takeout', 'Delivery']",['Open 24 hours'],Takeout Restaurant,Ấp mây đắng
18,Five Star,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,"2C3F+HPW, Tỉnh lộ 7"
19,Gà Rán Khoai Lang Lắc Street Food Phước,None,None,None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 9:30\u202fAM Fri']",Vietnamese,"Phước Hiệp 413 QL22 , Mui Con Dai Hamlet"
20,QUÁN PHỞ TRUNG EM,1.0,(1),None,"['Dine-in', 'Takeout']",[],Bistro,"1079D - ấp mây, Đặng Thị Tô"
21,Xe dich vu &amp; bun banh canh 8 thua,2.5,(2),None,['Dine-in'],"['Closed', ' ⋅ Opens 7\u202fAM Fri']",Dumpling,"2CH6+726, Cầu Dừa"
22,Quán cơm 7 Nhanh,None,None,None,[],[],Takeout Restaurant,"2C67+VR5, Võ Văn Điều"
23,Trạm dừng chân xuyên á Phước Thạnh,3.5,(6),None,"['Dine-in', 'Drive-through']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,976 Xuyên Á
24,Quán Biển Xanh,4.0,(13),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Bistro,2C3F+HVM
