,name,stars,review,price,note,open_time,restautant_type,address
0,People's Committee of Trung Lap Upper Commune,4.8,(12),None,[],[],Local government office,3F23+F39
1,Xã Trung lập thượng- Huyện Củ Chi,4.6,(5),None,[],[],Housing society,06 Đường 708
2,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"3F42+MGH, Unnamed Road"
3,Trung Lap Thuong Primary School,4.2,(10),None,[],['Open 24 hours'],School,499Trung Lập
4,Trạm Y Tế Xã Trung Lập Thượng,4.5,(2),None,[],[],Community health centre,83 Trung Lập
5,Nhà Sàn Củ Chi,4.3,(12),None,['Dine-in'],"['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,XG7M+GF7
6,Quán Tú Tài,None,None,None,['Dine-in'],[],Restaurant,43 Cây Bài
7,Quán Cơm Hoà Thương,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,522 TL8
8,Tuấn Anh Quán,4.3,(48),None,"['Dine-in', 'Takeout', 'No-contact delivery']",['Open 24 hours'],Family-friendly,"XGJ5+264, HL2"
9,Trọng Tâi Phở Hà Nội,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,497 TL8
10,Quán Tây Hồ,2.8,(4),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,"XG87+V7J, Trần Văn Chẩm"
11,Cháo lòng Bình dân,4.1,(10),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 3\u202fPM Fri']",Bistro,"XGMC+WGW, Trường Tiểu Học"
12,Cơm Tấm,None,None,None,"['Dine-in', 'Takeout']",[],Breakfast,577 TL8
13,Bánh Trung Thu,None,None,None,['Dine-in'],[],Restaurant,630 TL8
14,Cu Chi Tropical Restaurant and Lake View,None,None,None,['Dine-in'],"['Closed', ' ⋅ Opens 10\u202fAM Fri']",Lunch,5 đường 393
15,Cháo Soup Panda,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,696 TL8
16,Song Anh Seafood Restaurant,4.2,(14),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,395 TL8
17,Quán Cơm Bà Tám,5.0,(12),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,328 HL2
18,Quán Năm Sen,None,None,None,['Dine-in'],[],Restaurant,416 TL8
19,Duy Phở Hà Nội 2,4.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,637 TL8
20,Quán Ăn 79,4.3,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,"XFGV+WJF, Đường Lê Vĩnh Huy"
21,Gỏi Vịt Sài Gòn,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Salad,436A TL8
22,Hoa Viên SÀI GÒN PHỐ Palace Củ Chi,4.1,(52),None,['Dine-in'],"['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,"XFJR+647, Đường N4"
23,Cơm Tấm Ngọc Thy,5.0,(1),None,"['Dine-in', 'Takeout']",[],Fast Food,608 TL8
24,Quán Bò Nướng Điểm Hẹn 2,4.8,(13),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Bistro,1 Can Trường
25,Quán a tài,5.0,(2),None,"['Dine-in', 'Takeout', 'Delivery']","['Opens soon', ' ⋅ 9\u202fAM']",Restaurant,69/8 đường Cây Trôm Mỹ Khánh
26,Út Tình Quán,4.0,(9),None,"['Dine-in', 'Takeout']",[],Restaurant,11A Đường 618
27,Phong Đoàn,5.0,(2),None,['Dine-in'],[],Bistro,103 lê thị chừng
28,Quán Bờ Kênh - Út Lan,4.2,(88),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 8:30\u202fPM']",Restaurant,2F22+PQF
29,Hải sản 86,4.9,(8),None,"['Dine-in', 'Takeout']",[],Seafood,510 AH1
30,Hủ tiếu Tư Dung,4.7,(12),None,"['Dine-in', 'Takeout']",['Open now'],Breakfast,53 Cây Trôm Mỹ Khánh
31,Quán chay Bồ Đề,3.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,"364 quốc lộ 22, ấp cây trôm"
32,Quán phở hà nội,None,None,None,"['Dine-in', 'Takeout']",[],Bistro,"2C3X+M89, Ba Sa"
33,Quán Phở Lam Sơn,4.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,525 QL22
34,Quán Út Đen,5.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10:30\u202fAM']",Restaurant,72 Cây Trôm Mỹ Khánh
