,name,stars,review,price,note,open_time,restautant_type,address
0,People's Committee of Trung Lap Upper Commune,4.8,(12),None,[],[],Local government office,3F23+F39
1,Xã Trung lập thượng- Huyện Củ Chi,4.6,(5),None,[],[],Housing society,06 Đường 708
2,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"3F42+MGH, Unnamed Road"
3,Trung Lap Thuong Primary School,4.2,(10),None,[],['Open 24 hours'],School,499Trung Lập
4,Trạm Y Tế Xã Trung Lập Thượng,4.5,(2),None,[],[],Community health centre,83 Trung Lập
5,Cơm Hoài Thư,4.0,(4),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,109 Phạm Văn Cội
6,Nhà cô dâu,5.0,(2),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,406 tổ5 ấp2
7,Quán Ăn Hiệp Mập,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,2GQC+G8M
8,Khu du lịch sinh thái dân tộc thiểu số,3.8,(12),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,"2FHV+WJJ, đường 522"
9,Quán Cơm 121,4.5,(2),None,"['Dine-in', 'Takeout']",[],Bistro,121
10,Song Ngọc Common Restaurant,5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,51 Phạm Văn Cội
11,Tương Long Quán,None,None,None,['Dine-in'],[],Restaurant,53 Phạm Văn Cội
12,Quán Ốc Tý Chuột,5.0,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 2\u202fPM Fri']",Restaurant,214 Đ. 489
13,QUÁN ĂN NHẬT TIÊN,3.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 5\u202fAM Fri']",Fast Food,97
14,Coffee &amp; chăm sóc xe ôtô VIVU City,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6:30\u202fAM Fri']",Restaurant,55D
15,Hủ tiếu Cô Thủy,None,None,None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,963 Nguyễn Văn Khạ
16,Quán Ăn Phước Mỹ,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,562 Nguyễn Văn Khạ
17,Phở sambo,None,None,None,"['Dine-in', 'Takeout']",[],Family-friendly,51
18,Quán Phở nhà Ông Kính,4.4,(5),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,212 tổ1 ấp1
19,Quán Lẩu Minh Hùng,4.2,(23),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,214 Đ. Số 490
20,Phương Đông,4.5,(2),None,['Takeout'],['Open 24 hours'],Soup shop,542 Nguyễn Văn Khạ
21,Cơm tấm Hương,4.6,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,550 Nguyễn Văn Khạ
22,Quán Ánh Hồng Hủ Tíu - Bánh Canh,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,51 Phạm Văn Cội
23,Bò nhúng củ chi,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,2G47+M75
24,Bánh Xèo Cô Thu,4.9,(8),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 7:30\u202fAM Fri']",Restaurant,965 Nguyễn Văn Khạ
