,name,stars,review,price,note,open_time,restautant_type,address
0,People's Committee of Trung Lap Upper Commune,4.8,(12),None,[],[],Local government office,3F23+F39
1,Xã Trung lập thượng- Huyện Củ Chi,4.6,(5),None,[],[],Housing society,06 Đường 708
2,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"3F42+MGH, Unnamed Road"
3,Trung Lap Thuong Primary School,4.2,(10),None,[],['Open 24 hours'],School,499Trung Lập
4,Trạm Y Tế Xã Trung Lập Thượng,4.5,(2),None,[],[],Community health centre,83 Trung Lập
5,Trung thu Quán,4.2,(33),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,Đường Số 6
6,Thanh Thảo Quán Ăn,5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,111 đường Phạm Thị Lòng
7,Quán Bằng Hữu,3.9,(33),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,2H2X+Q49
8,Bánh bèo chén Trung An,5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,XHWR+G4M
9,Quán Ăn Gia Đình 199,3.9,(196),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 11\u202fAM']",Restaurant,số nhà 36 đường 458 ấp thạnh an xã trung an huyện củ chi
10,Quán Út Phong,3.8,(17),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10:30\u202fAM']",Restaurant,XHQQ+R5Q
11,QUÁN 239,None,None,None,"['Dine-in', 'Takeout']",[],Bistro,239 ấp an bình
12,Quán Thỏ 68,4.7,(3),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"Tỉnh Lộ 15, Xã Trung An, Huyện Củ Chi, Thành Phố Hồ Chí Minh"
13,Shabushi Buffet Lẩu Băng Chuyền T2-05b Tầng 2 Centre Mall Củ Chi,3.1,(18),None,['Dine-in'],"['Closed', ' ⋅ Opens 10:30\u202fAM']",Japanese,Shabushi Buffet Lẩu Băng Chuyền T2-05b Tầng 2 Centre Mall
14,Trung Tâm Tiệc Cưới Công Đoàn,3.4,(10),None,['Dine-in'],"['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"XHMH+R74, TL8"
15,Phở 9 Dũng,3.9,(13),None,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Bistro,102 Đ. Trung An
16,Quán ăn gia đình 178,4.1,(85),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 11\u202fAM']",Restaurant,78a Đường 458
17,3 Mách quán Trung An Củ Chi,4.0,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM']",Restaurant,2H2Q+Q9J
18,Quán đồng quê( có em út),5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,"2H3P+3CX, Nguyễn Thị My"
19,Phố Nướng Việt Hàn,3.8,(77),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 9\u202fAM']",Restaurant,đường 458 ấp hội thạnh
20,Buffet Củ Chi,3.6,(63),None,['Dine-in'],"['Closed', ' ⋅ Opens 4\u202fPM']",Restaurant,"KE. 1357, Ấp Hội Thạnh"
21,Quán Bò Tơ Bến Xưa,4.5,(4),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM']",Family-friendly,40 Đ. Số 463
22,Rau sống phương huệ,5.0,(2),None,['Takeout'],['Open 24 hours'],Salad,68A Đ. Nguyễn Thị Ni
23,Cháo vịt Ngọc Lệ,5.0,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 3\u202fPM']",Restaurant,"2H2W+CG7, Unnamed Road"
24,Bún chả hà nội - Obama _,5.0,(5),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,20 Đường 458
