,name,stars,review,price,note,open_time,restautant_type,address
0,People's Committee of Trung Lap Upper Commune,4.8,(12),None,[],[],Local government office,3F23+F39
1,Xã Trung lập thượng- Huyện Củ Chi,4.6,(5),None,[],[],Housing society,06 Đường 708
2,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"3F42+MGH, Unnamed Road"
3,Trung Lap Thuong Primary School,4.2,(10),None,[],['Open 24 hours'],School,499Trung Lập
4,Trạm Y Tế Xã Trung Lập Thượng,4.5,(2),None,[],[],Community health centre,83 Trung Lập
5,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,"3F42+MGH, Unnamed Road"
6,Quán Ăn Tư Diện,4.1,(204),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Bistro,XFMH+476
7,"Thpt Trung Lập, Củ Chi",4.5,(12),None,"['Their website mentions ', 'xã trung lập thượng']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Senior high school,3F23+32H
8,Trung Lập Thượng,None,None,None,[],[],Củ Chi,Vietnam
9,Long Giang Quán,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,"2CPX+VV5, Tỉnh lộ 7"
10,Công An xã Trung Lập Thượng,None,None,None,[],[],Civil police,141duong 57 Ấp Trung Bình
11,138 tỉnh lộ 2 ấp xóm đồng xã tân phú trung huyện củ chi,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Breakfast,138 tỉnh lộ 2 ấp xóm đồng
12,Dong Lon Bridge,4.4,(19),None,[],[],Bridge,569b Trung Lập
13,Quán Ăn Tấn Lộc (168),4.3,(8),None,"['Dine-in', 'Takeout']",[],Restaurant,"2CPX+RXC, Tỉnh lộ 7"
14,Quán Bò Tơ Ngọc Thảo,3.9,(416),None,"['""Nằm trên đường nguyễn thị rành thuộc ', 'xã trung', '&nbsp;...""']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,2F6G+V5R
15,Ấp Lào Táo Thượng,5.0,(1),None,[],[],City government office,60a Đường Nguyễn Thị Hẹ
16,Phở minh tiến,3.9,(11),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Bistro,2GPF+42J
17,Chợ Trung Lập Thượng,None,None,None,[],[],Market,"2FX4+X6R, Tỉnh lộ 7"
18,Trường Mầm Non Trung Lập Thượng,4.8,(5),None,[],"['Closed', ' ⋅ Opens 8\u202fAM Fri']",School,3C8M+G5R
19,Hồ bơi Trung Lập,4.7,(6),None,[],"['Closed', ' ⋅ Opens 6\u202fAM Fri']",Outdoor swimming pool,2FX3+99R
