,name,stars,review,price,note,open_time,restautant_type,address
0,Chocolaterie,5.0,(1),,[],"['Open', ' ⋅ Closes 10\u202fPM']",Chocolate artisan,2 Lam Son Square
1,Saigon Grill Restaurant,4.2,(923),$$$,"['Dine-in', 'Takeout', 'No delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Vietnamese,Pasteur/91 Ward
2,Ngon Restaurant,4.0,"(7,389)",,['The best Chả giò in the world'],"['Open', ' ⋅ Closes 10:30\u202fPM']",Vietnamese,160 Pasteur
3,Anan Saigon,4.3,"(1,026)",,"['The 15 Best Restaurants in Ho Chi Minh City, Vietnam']","['Opens soon', ' ⋅ 5\u202fPM']",Vietnamese,89 Tôn Thất Đạm
4,Au Parc Restaurant,4.4,"(1,386)",,['Where to Eat in Ho Chi Minh City : Western and Vietnamese Restaurant Recommendations'],"['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,23 Hàn Thuyên
5,Cloud Nine Restaurant Sai Gon,,,,"['Dine-in', 'Curbside pickup']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,180-188 Lý Tự Trọng
6,RuNam d'Or,4.3,"(1,326)",,"['Dine-in', 'Takeout', 'No delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Modern French,3 Công xã Paris
7,Sushi Tei Vietnam,4.2,"(1,782)",$$$,['The Top 7 Japanese Restaurants In Saigon'],"['Open', ' ⋅ Closes 11\u202fPM']",Sushi,200A Lý Tự Trọng
8,Bambino,5.0,(1),,"['Dine-in', 'Takeout', 'No delivery']","['Opens soon', ' ⋅ 5\u202fPM']",Restaurant,Tôn Thất Thiệp/29-31 ward
9,Le Jardin,4.3,(837),,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 6\u202fPM']",French,31 Thái Văn Lung
10,NGAM,4.0,(1),,"['Dine-in', 'Takeout']",[],Restaurant,38 Mạc Thị Bưởi
11,Secret Garden Restaurant,4.2,"(3,537)",,"['The 15 Best Restaurants in Ho Chi Minh City, Vietnam']","['Open', ' ⋅ Closes 10\u202fPM']",Vietnamese,158 Pasteur
12,Esta Saigon,4.6,(150),None,"['Dine-in', 'No delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Asian Fusion,27 Trần Quý Khoách
13,Sushi Masa,4.4,"(1,063)",None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Sushi,52 Thạch Thị Thanh
14,Å by TUNG,4.7,(138),None,"['Dine-in', 'No delivery']","['Open', ' ⋅ Closes 11:30\u202fPM']",Fine Dining,31-33 Đặng Dung
15,Quán Út Nhung,4.1,(110),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 1:30\u202fAM']",Restaurant,243 Đ. Hoàng Sa
16,Thang Restaurant,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"88, Tran Quang Khai Street, Da Kao Ward, District 1"
