,name,stars,review,price,note,open_time,restautant_type,address
0,Chocolaterie,5.0,(1),,[],"['Open', ' ⋅ Closes 10\u202fPM']",Chocolate artisan,2 Lam Son Square
1,TAN LAP,3.9,(339),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11:59\u202fPM']",Restaurant,277 Đ. Lê Thánh Tôn
2,Chanh Bistro Rooftop Saigon,4.4,(701),$$$,"['Dine-in', 'Takeout', 'No delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Western,"Rooftop level, 215 Lý Tự Trọng"
3,Sushi Tei Vietnam,4.2,"(1,782)",$$$,['The Top 7 Japanese Restaurants In Saigon'],"['Open', ' ⋅ Closes 11\u202fPM']",Sushi,200A Lý Tự Trọng
4,Chiyoda Sushi Bến Thành,4.4,"(1,227)",,"['Dine-in', 'Curbside pickup', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Sushi,256 Đ. Lê Thánh Tôn
5,Cocotte Ben Thanh,4.4,(985),,"['Dine-in', 'Takeout', 'No delivery']","['Open', ' ⋅ Closes 10\u202fPM']",French,136 Đ. Lê Thánh Tôn
6,Unatoto Bến Thành,4.3,(453),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Japanese,56 Trương Định
7,30/4 Café Restaurant,4.1,(854),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,1 Huyền Trân Công Chúa
8,Cloud Nine Restaurant Sai Gon,,,,"['Dine-in', 'Curbside pickup']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,180-188 Lý Tự Trọng
9,Lion City Cafe and Restaurant (42 Lê Anh Xuân),4.1,(375),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Singaporean,42 Lê Anh Xuân
10,Dac San Pho 79 Restaurant,4.1,(530),$$$,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,79 Đ. Sương Nguyệt Anh
11,Tra An Food,,,,"['Dine-in', 'Takeout', 'Delivery']",[],Restaurant,261 Lý Tự Trọng
12,SOUL BẾN THÀNH Restaurant &amp; Bar,4.1,(315),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fAM']",Vietnamese,7A Thủ Khoa Huân
13,Cyclo Resto (Vietnamese cuisine restaurant),4.6,(788),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Vietnamese,131 Đ. Nguyễn Du
14,Tassui Dining &amp; Lounge,4.6,(60),,"['Dine-in', 'No delivery']","['Closed', ' ⋅ Opens 6\u202fPM']",Japanese,10 Trương Định
15,La Fiesta!,4.5,"(1,231)",,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Mexican,128 Lý Tự Trọng
16,The Wagon Wheel - American Comfort Cuisine,4.6,(322),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9:45\u202fPM']",American,200 Đ. Lê Thánh Tôn
