,name,stars,review,price,note,open_time,restautant_type,address
0,Insalata Vietnam - Healthy Food,4.7,(121),nan,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 8:30\u202fPM']",Restaurant,71/17 Đ. Cô Bắc
1,Tài Phở,nan,nan,nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,101 Cô Giang
2,Thóc Grill &amp; Craft Beer,4.3,(202),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 1\u202fAM']",Restaurant,89 Đ. Đề Thám
3,Chill Thái,4.4,(121),nan,"['Dine-in', 'Takeout']",[],Thai,163 Cô Giang
4,Quán Cafe Map Sài Gòn,nan,nan,nan,"['Dine-in', 'Takeout']",[],Restaurant,62 Cô Giang
5,A.Kiệt Quán,4.6,(8),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 8\u202fPM']",Bistro,182 Cô Giang
6,Cơm tấm Chị Thông,4.9,(8),nan,"['Dine-in', 'Takeout']","['Closes soon', ' ⋅ 5\u202fPM ⋅ Opens 10\u202fAM Fri']",Restaurant,178 Cô Giang
7,Bún Thịt Nướng Chị Tuyền,4.4,(123),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,175c Cô Giang
8,Quán Cơm Tấm,3.2,(6),nan,"['Dine-in', 'Takeout']","['Opens soon', ' ⋅ 5\u202fPM']",Rice restaurant,27 Cô Giang
9,Cô Thảo Tôm Cá,5.0,(3),nan,"['Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Takeout Restaurant,42/2 Trần Đình Xu
10,Cháo Lòng Bà Út,2.4,(36),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 7\u202fPM']",Bistro,193 Cô Giang
11,cháo trắng,3.0,(2),nan,"['Dine-in', 'Takeout']",[],Porridge restaurant,71 Cô Giang
12,quáng há cảo Đề Thám,nan,nan,nan,"['Dine-in', 'Takeout']",[],Restaurant,89 Cô Giang
13,Good Morning Vietnam - Italian Restaurant Coffee Pizzeria,nan,nan,nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Italian,75 Hồ Hảo Hớn
14,Quán Ăn 1$,5.0,(1),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,2 Đ. Đề Thám
15,Nhà hàng ẩm thực Á - Âu GORDON,4.4,(43),nan,"['Dine-in', 'Curbside pickup']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,456 Đ. Võ Văn Kiệt
16,Freedom Restaurant,4.1,(188),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,58 Hồ Hảo Hớn
17,Cháo lòng Chị Thanh,4.3,(172),nan,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Porridge restaurant,47 Cô Giang
18,Bò lá lốt Hoàng Yến,4.2,(113),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Vietnamese,121 Cô Giang
