,name,stars,review,price,note,open_time,restautant_type,address
0,Insalata Vietnam - Healthy Food,4.7,(121),,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 8:30\u202fPM']",Restaurant,71/17 Đ. Cô Bắc
1,Tài Phở,,,,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,101 Cô Giang
2,Thóc Grill &amp; Craft Beer,4.3,(202),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 1\u202fAM']",Restaurant,89 Đ. Đề Thám
3,Chill Thái,4.4,(121),,"['Dine-in', 'Takeout']",[],Thai,163 Cô Giang
4,Quán Cafe Map Sài Gòn,,,,"['Dine-in', 'Takeout']",[],Restaurant,62 Cô Giang
5,A.Kiệt Quán,4.6,(8),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 8\u202fPM']",Bistro,182 Cô Giang
6,Cơm tấm Chị Thông,4.9,(8),,"['Dine-in', 'Takeout']","['Closes soon', ' ⋅ 5\u202fPM ⋅ Opens 10\u202fAM Fri']",Restaurant,178 Cô Giang
7,Bún Thịt Nướng Chị Tuyền,4.4,(123),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,175c Cô Giang
8,Quán Cơm Tấm,3.2,(6),,"['Dine-in', 'Takeout']","['Opens soon', ' ⋅ 5\u202fPM']",Rice restaurant,27 Cô Giang
9,Cô Thảo Tôm Cá,5.0,(3),,"['Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Takeout Restaurant,42/2 Trần Đình Xu
10,Cháo Lòng Bà Út,2.4,(36),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 7\u202fPM']",Bistro,193 Cô Giang
11,cháo trắng,3.0,(2),,"['Dine-in', 'Takeout']",[],Porridge restaurant,71 Cô Giang
12,quáng há cảo Đề Thám,,,,"['Dine-in', 'Takeout']",[],Restaurant,89 Cô Giang
