,name,stars,review,price,note,open_time,restautant_type,address
0,ZumWhere Đa Kao,4.4,(468),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Restaurant,11 Nguyễn Thành Ý
1,Cocotte - Da Kao,4.5,(208),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Hẻm 18A/67 Nguyễn Thị Minh
2,The Street,4.3,(423),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11:30\u202fPM']",Vietnamese,37 Đ. Mạc Đĩnh Chi
3,NOIR. Ăn trong bóng tối | Dining in the Dark Saigon,4.7,"(1,222)",$$$,['Most Romantic Restaurants In Ho Chi Minh'],"['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,180D Hai Bà Trưng
4,MANMARU OSAKA RESTAURANT 1,4.4,"(1,361)",None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11:30\u202fPM']",Izakaya,"71 Mạc Đĩnh Chi Quận 1, Dakao Ward"
5,The Gangs,4.3,"(1,448)",$$$,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Barbecue,32 Đ. Mạc Đĩnh Chi
6,Hội An Sense Restaurant,4.5,(86),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Vietnamese,"Rooftop, 12 Phan Kế Bính"
7,Al Fresco's Mac Dinh Chi,4.2,(794),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Western,31 Bis Đ. Mạc Đĩnh Chi
8,T Bistro - Không gian chill của riêng bạn,4.5,(4),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",French,6 Trần Doãn Khanh
9,The Log Restaurant,4.2,(669),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,"Rooftop, Gem Center, 8 Nguyễn Bỉnh Khiêm"
10,Dê Cao Nguyên 3,5.0,(16),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,157 Đ. Nguyễn Văn Thủ
11,Home kitchen Xứ Quảng,4.2,"(1,199)",None,"['Dine-in', 'Takeout', 'No delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Vietnamese,16 Trần Cao Vân
12,Cafe Restaurant СССР Saigon,4.3,(698),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Russian,48A Nguyễn Bỉnh Khiêm
13,Loving Hut Hoa Dang Vegetarian Restaurant,4.3,"(1,240)",None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Vegetarian,38 Đ. Mạc Đĩnh Chi
14,Champa's Essence,4.0,(660),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 12\u202fAM']",Restaurant,03 Đ. Hoàng Sa
15,My Mother Restaurant,4.4,(101),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Fine Dining,72 Nguyễn Đình Chiểu
16,Blanc. Restaurant Saigon,4.7,(257),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Asian Fusion,180D Hai Bà Trưng
17,Mía Dinning,None,None,None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Asian Fusion,12G2 Đ. Nguyễn Thị Minh Khai
18,Nhà hàng Cơm Xưa,3.8,(232),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 8\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Restaurant,20 Trần Cao Vân
19,Viet Village Restaurant ベト ビレッジ,4.1,(375),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Vietnamese,17 Đ. Đinh Tiên Hoàng
20,Esta Saigon,4.6,(150),None,"['Dine-in', 'No delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Asian Fusion,27 Trần Quý Khoách
21,Sushi Masa,4.4,"(1,063)",None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Sushi,52 Thạch Thị Thanh
22,Å by TUNG,4.7,(138),None,"['Dine-in', 'No delivery']","['Open', ' ⋅ Closes 11:30\u202fPM']",Fine Dining,31-33 Đặng Dung
23,Quán Út Nhung,4.1,(110),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 1:30\u202fAM']",Restaurant,243 Đ. Hoàng Sa
24,Thang Restaurant,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"88, Tran Quang Khai Street, Da Kao Ward, District 1"
25,Chocolaterie,5.0,(1),None,[],"['Open', ' ⋅ Closes 10\u202fPM']",Chocolate artisan,2 Lam Son Square
26,Vị Quê Kitchen,4.7,(251),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Vegan,110 Đ. Sương Nguyệt Anh
27,Phở Hiền,4.3,(50),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,88 Đ. Trần Khắc Chân
28,TRÀ QUẾ Restaurant,2.3,(3),None,"['Dine-in', 'Takeout']",[],Vietnamese,49 Đ. Trần Nhật Duật
29,LERESTO - Món Pháp Giá Việt,4.2,(178),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",French,359 Đ. Hoàng Sa
30,Bánh Khọt &amp; Bánh Mì Hấp,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Vietnamese,Hẻm 54 Đ. Trần Khắc Chân
31,Cháo Trắng,4.3,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9:30\u202fPM']",Vegetarian,10 Đ. Trần Khắc Chân
32,Cơm Gà Sốt Tân Định,4.8,(12),None,"['Dine-in', 'Drive-through', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Vietnamese,81/14 Nguyễn Hữu Cầu
33,Cuc Gach Quan Restaurant,4.3,"(2,958)",$$$,"['Weekend trip guide: Ho Chi Minh, Vietnam’s vibrant city of food, history, and culture']","['Open', ' ⋅ Closes 11:30\u202fPM']",Vietnamese,10 Đặng Tất
34,Tàu Hủ Ly Cối,None,None,None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']",[],Restaurant,Thạch Thị Thanh
35,Nhà hàng Chay Việt An,4.3,(206),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Vegetarian,11 Đ. Trần Nhật Duật
36,Nhà hàng No Name,4.1,(305),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,357 Đ. Hoàng Sa
37,Nhà Hàng Hoàng Ty,4.0,"(1,344)",None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,1 Nguyễn Hữu Cầu
38,Miên Eatery,None,None,None,"['Dine-in', 'No takeout', 'No delivery']",[],Rice restaurant,50A Đặng Dung
