,name,stars,review,price,note,open_time,restautant_type,address
0,Quán Ăn Minh Tuấn,3.0,(1),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"330A, Khu Phố 3, Phường Trung Mỹ Tây, Quận 12, Thành Phố Hồ Chí Minh, Thành Phố Hồ Chí Minh"
1,Quán Sơn Lâm,nan,nan,nan,"['Dine-in', 'Takeout']",[],Restaurant,121 Đ.Trung Mỹ Tây 2A
2,Dũng 39 house,nan,nan,nan,"['Dine-in', 'Takeout']",[],Restaurant,138 Hà Đặc
3,Nhận Tiệc Thanh Thảo,4.8,(12),nan,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Closes soon', ' ⋅ 6\u202fPM ⋅ Opens 8\u202fAM Fri']",Buffet,35/3/6 Đ. Trung Mỹ Tây 19
4,An's Kitchen Q12,5.0,(5),nan,"['Dine-in', 'Takeout', 'Delivery']",[],Bistro,B10/16 Tổ 21
5,Quán Ốc Út Ù,4.3,(4),nan,"['Dine-in', 'Takeout']",[],Seafood,107 Đ.Trung Mỹ Tây 2A
6,Bún bò O Kiếm,5.0,(3),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,1 Tổ 68 Tổ 57-KP3
7,Bê Thui Nóng Quyết Thắng- Chi Nhánh 3,4.0,(426),nan,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,VJ36+M93
8,Thế Giới Ẩm Thực,5.0,(2),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 8\u202fPM']",Restaurant,215 Hà Đặc
9,LANIE FOOD,nan,nan,nan,"['Dine-in', 'Takeout']",[],Restaurant,431A Tổ 68 KP3
10,Quán Mị Linh,nan,nan,nan,"['Dine-in', 'Takeout']",[],Restaurant,"VJ36+Q44, Đ. TMT 17"
11,Cơm Tấm 86,3.7,(3),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,232 Hà Bổng
12,Bơ Tokbokki,4.9,(19),nan,"['""ở đây có bán app shopee ', 'food', ' nữa nha""']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,56 Tổ 19
13,Bún riêu cô Điệp,nan,nan,nan,"['Dine-in', 'Takeout']",[],Bistro,70 Trung Mỹ Tây 3
