,name,stars,review,price,note,open_time,restautant_type,address
0,Quán Cafe M.a.t,4.4,(15),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,88 Huỳnh Tấn Phát
1,Nhà Hàng,4.3,(6),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"26/2, Phú Thuận, Quận 7, Thành Phố Hồ Chí Minh"
2,Quán Ăn 6 Xị,4.1,(117),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"31/1D, 31/1D Gò Ô Môi"
3,BÚN BÒ - BÚN RIÊU HÀ,,,,"['Dine-in', 'Takeout']",[],Family-friendly,931 Huỳnh Tấn Phát
4,Bún Bò Sa Tế Sả,4.2,(151),,"['""Có thể kết hợp với ', 'cafe', ' sáng. Nước uống ngon. Giá cả vừa phải""']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,"B1 Đường Phú Thuận, Khu Nam Long"
5,Quán 11/02,4.1,(8),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 8\u202fPM']",Bistro,391 Đ. Đ6
6,Cơm niêu ý việt,2.3,(3),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"Công viên KDC Nam Long - Phú Thuận, E8"
7,Ốc 66,5.0,(5),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Seafood,64e Đ. Phú Thuận
8,Quán Ốc Sumi,3.9,(14),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,3 Đ. Phú Thuận
9,Nhà Hàng Chay AN &amp; Cafe- Cảnh Viên 2,4.6,(415),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Vegetarian,40 Đường C
10,Quán ăn Năm Lợi,4.2,(300),,"['Dine-in', 'Takeout']",[],Restaurant,1 Đường Số 3 Khu Dân Cư Tân Trường
11,fuAsian ( Inside Sonata Residences),4.6,(76),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,41 Nguyễn Thị Thập
