,name,stars,review,price,note,open_time,restautant_type,address
0,Nhà Hàng Chay AN &amp; Cafe- Cảnh Viên 2,4.6,(415),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Vegetarian,40 Đường C
1,Big Boss Bistro,,,,['Dine-in'],[],Restaurant,23 Đ. Số 2
2,Cham Bistro,4.4,(61),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9:30\u202fPM']",Restaurant,2 Đường Noi Khu My Thai 1A
3,An An Uong Uong,,,,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 6\u202fPM ⋅ Opens 9\u202fAM Fri']",Asian,404/8 Tân Phú
4,Montalcino Restaurant,4.4,(8),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Italian,02 Phan Văn Chương
5,Cô Nguyễn Kitchen,4.5,(40),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Vietnamese,32 Đường C
6,C.Tao Chinese Restaurant - Phú Mỹ Hưng,3.9,(14),,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Mandarin restaurant,107 Tôn Dật Tiên
7,Quán ăn GD,,,,"['Dine-in', 'Takeout']",[],Asian,34 Đ. Số 10
8,후띠유맛집,,,,[],[],Restaurant,120 Đ. Số 1
9,ngon kitchen,,,,"['Dine-in', 'Takeout']",[],Restaurant,"M Apartment, 10 Đường C - Bắc"
10,CHLOE Gallery,4.3,(522),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11:30\u202fPM']",Restaurant,"Phan Văn Chương, 02-06 Cầu Ánh Sao"
11,fuAsian ( Inside Sonata Residences),4.6,(76),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,41 Nguyễn Thị Thập
12,The Cozy Bistro,4.4,(30),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"29 đường 16, P"
13,Pooh's restaurant,4.0,(5),,"['Dine-in', 'Curbside pickup', 'No delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,56 Đường Số 17
14,Bella Italia Authentic Italian Restaurant,4.8,(108),,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Italian,4 đường Mỹ Phú 2C
15,Trảng Bàng Xưa và Nay - Starhill,4.1,(64),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,23 Đường số 10
16,The 67,4.7,(147),,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,"Star Hill Street, The 67, 10 Đường số 10"
17,Song Tho Zuan,,,,['Dine-in'],[],Seafood,6 Đ. Số 2
