,name,stars,review,price,note,open_time,restautant_type,address
0,Quán ăn Tân Hưng,5.0,(4),,"['Dine-in', 'Takeout']",[],Family-friendly,84 Đường số 79
1,Quán 70,,,,"['Dine-in', 'Takeout']",[],Restaurant,71 Đường Số 43
2,Quán Ăn A Chỉ,,,,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,1 Đ. Số 10
3,NHÀ HÀNG CỐI ĐÁ CN QUẬN 7,4.9,(17),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Family-friendly,40 Đường số 53
4,Caffee 1989,,,,"['Dine-in', 'Takeout']","['Closes soon', ' ⋅ 6:01\u202fPM ⋅ Opens 8:01\u202fAM Fri']",Vietnamese,71 Đường số 53
5,Bún bò Huế Gia Hội,4.5,(25),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Asian,81 Số 23
6,Ẩm thực sân vườn Mái Lá Quận 7,4.1,(175),,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,1D Đường Số 36
7,Hàng Dương Sakura,4.3,(197),,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Fusion restaurant,16 Số 77
8,Ẩm thực sân vườn Sông Thương,3.9,(771),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"62 Số 77, Phường Tân Quy, Quận 7, 62 Đ. Số 77"
9,Quán PULL,4.2,(138),,"['Dine-in', 'Takeout']",['Open now'],Restaurant,71 Đường Số 43
10,Deliany Quận 7,4.7,(9),,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Fast Food,57 Đường số 53
11,Quán Ăn Hòa Ký,,,,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"50, Đường 79, Phường Tân Quy, Quận 7, Thành Phố Hồ Chí Minh, Đ. Số 42"
12,"Lẩu bò Tân quy, nướng BBQ",3.2,(5),,"['Dine-in', 'Takeout']",[],Restaurant,"Chung Cư, 44"
13,Quán Ăn Gia Đình Linh Nam,,,,"['Dine-in', 'Takeout']",[],Bistro,18 Đường số 34
14,Yan Sushi,4.6,(50),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Sushi,87A Đường số 79
15,"Farmers Garden - Nguyễn Thị Thập, Q.7",4.3,(435),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,486 Nguyễn Thị Thập
16,Tré trộn Túaluaxua,,,,['Dine-in'],[],Family-friendly,140a Số 17
17,Quán Ăn Đăng Khoa,4.5,(32),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,77 Đ. Số 8
