,name,stars,review,price,note,open_time,restautant_type,address
0,Saigon rose,4.1,(34),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,214 Đ. Vành Đai Trong
1,Quán Ăn 31A,5.0,(1),,"['Dine-in', 'Takeout']",[],Restaurant,15 Đường Số 4
2,"89 Dường 24a, bình tri dong b, binh tan, hcm",,,,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,89 Đường số 24A
3,Quán Ăn 252,5.0,(1),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,252 Đ. Vành Đai Trong
4,Quán Ăn 433,3.3,(6),,"['Dine-in', 'Takeout']",[],Bistro,433 Đ. Vành Đai Trong
5,The Moon Restaurant,4.5,(27),,"['Dine-in', 'Drive-through', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,187 đường Đ. Vành Đai Trong
6,"310 đường số 1, Bình trị đông B, Bình Tân",,,,[],"['Open', ' ⋅ Closes 10\u202fPM']",American,310 Đ. Số 1
7,Cơm Sườn,,,,"['Dine-in', 'Takeout']",[],Restaurant,211 Đường số 7
8,Tanchou Bình Tân - Quán ăn Nhật Bản,4.5,(142),,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Japanese,257 Đường số 7
9,Quán Ôc Như,4.0,(125),,"['""', 'Food', ' is good, is clean, and staff are kind.""']","['Open', ' ⋅ Closes 10\u202fPM']",Bistro,"QJ35+W2C, Đường Số 34"
10,Quán Ăn Việt Trung Gia,4.0,(68),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Chinese,419 Đ. Vành Đai Trong
11,Quán nhậu,,,,"['Dine-in', 'Takeout']",[],Restaurant,578 Hồ Học Lãm
12,Quán Ốc Tre,3.7,(3),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Seafood,100 Đ. Vành Đai Trong
13,Quán Cơm Tấm 261,3.9,(65),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Rice restaurant,261 Tên Lửa
14,Quán Phở 79 Bình Tân,,,,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Pho,"A002CC, Da Sà, Đường 21D, Phường Bình Trị Đông B, Quận Bình Tân, Thành Phố Hồ Chí Minh, Thành Phố Hồ Chí Minh"
15,Ốc Bụi,3.9,(180),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 3\u202fAM']",Restaurant,169 Đường số 7
16,Lẩu dê Tư Huấn,4.2,(20),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,249 Đ. Số 1
17,Cơm Tấm Sườn &amp; Bún Thịt Nướng 3 The - Tên Lửa - Bình Tân,4.7,(27),,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Rice restaurant,107 Tên Lửa
