,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Seafood,11 D. Nguyễn Văn Trỗi
6,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closes soon', ' ⋅ 11\u202fPM ⋅ Opens 3:30\u202fPM Fri']",Brewpub,436 Trường Sa
7,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
8,Nhà Hàng 261,None,None,None,[],['Temporarily closed'],Restaurant,261 Nguyễn Trọng Tuyển
9,Tokyo Deli,4.2,"(1,125)",None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 11\u202fAM Fri']",Japanese,"242 - 244 Phan Xích Long, phường 1, Quận Phú Nhuận"
10,Another Round (Food &amp; Beer),4.4,(19),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 12\u202fAM']",Restaurant,47E Hoa Lan
11,5A Phú Nhuận Quán,4.1,(39),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 12\u202fPM Fri']",Restaurant,476 Phan Xích Long
12,Chang Modern Thai Cuisine 347 Phan Xích Long,4.0,(217),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 11\u202fAM Fri']",Thai,347 Phan Xích Long
13,Bamboo Sushi,4.3,(156),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10:30\u202fAM Fri']",Japanese,104 Cù Lao
14,Al Fresco's Phan Xích Long,4.3,(612),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 11\u202fAM Fri']",Pizza,199 Phan Xích Long
15,Pasta Food,4.3,(110),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,66 Đ. Cô Giang
16,Cafe Vườn Nhà Ai,3.9,(812),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Cafe,3 Hoàng Minh Giám
17,On garden,4.3,(149),None,"['Dine-in', 'Takeout']",[],Family-friendly,82 Trần Huy Liệu
18,BẤT ỔN QUÁN,5.0,(3),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fAM']",Family-friendly,666 Đ. Trường Sa
19,iSushi Phan Xích Long,4.1,(151),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 11\u202fAM Fri']",Restaurant,Số 191 Phan Xích Long
20,Nhà hàng sky,4.3,(71),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Vietnamese,200 Hoàng Văn Thụ
21,Pergola,4.1,(864),None,['Dine-in'],"['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,28A Trần Cao Vân
22,SOUP CUA TÓC TIÊN NGỌC UYÊN - PHAN TÂY HỒ,None,None,None,[],[],Family-friendly,76/50h Phan Tây Hồ
23,aga steakHouse,4.1,(179),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM']",Restaurant,72/24 Phan Đăng Lưu
24,Restaurant Ngoc Suong Marina Boat,4.2,"(1,823)",None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10\u202fAM']",Seafood,11 D. Nguyễn Văn Trỗi
25,BẤT ỔN QUÁN,5.0,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 5\u202fPM']",Family-friendly,666 Đ. Trường Sa
