,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Nai restaurant,3.8,(10),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9:30\u202fAM Fri']",Restaurant,6 Đường Số 9
6,Thế Kỷ Food Garden,4.6,(23),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 12\u202fAM ⋅ Opens 10\u202fAM Fri']",Restaurant,104 Đ. B
7,Diner 279,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,"279 Kha Vạn Cân, Phường Hiệp Bình Chánh, Quận Thủ Đức, TPHCM"
8,Quán Cơm Thu,4.1,(8),None,"['Dine-in', 'Takeout', 'Delivery']",['Open 24 hours'],Restaurant,421/4F Đ. Sô 48
9,Ẩm thực Thố,4.4,(215),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,133 Đường 18
10,Phở Tuấn Bát Đàn,4.2,(34),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,8 Đường số 10
11,Quán Ăn 126,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,411 Đ. Kha Vạn Cân
12,ẨM THỰC HẢI SƠN,4.3,(253),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,173a Đ. Hiệp Bình
13,Nhà của Bảo,None,None,None,"['Dine-in', 'Takeout', 'No-contact delivery']",['Open 24 hours'],Family-friendly,"TP, 23/2/1 Đ. Sô 48"
14,Phố ốc,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,14 Đ. Sô 48
15,Quán MAY,3.5,(2),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,417/69 Đ. Sô 48
16,Nhà Hàng Bên Sông,4.3,(247),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,Đ. Số 26
17,Thuý Kiều Quán,5.0,(2),None,"['Dine-in', 'Takeout']","['Closes soon', ' ⋅ 12\u202fAM ⋅ Opens 3\u202fPM Fri']",Restaurant,83 Đ. số 10
18,Quán Nhậu Phố Ốc,None,None,None,['Dine-in'],['Open 24 hours'],Restaurant,61/14 Đ. Sô 48
19,Nhà Hàng Nai Bên Sông,3.9,(579),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 11\u202fAM Fri']",Restaurant,Số 6 Đ. số 10
20,Nhà hàng Bên Sông,4.2,"(5,249)",None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Vietnamese,35 Đ. 27
21,"Điểm Tâm, bùn gà,miến gà, Trua: cơm gà, sườn",None,None,None,"['Dine-in', 'Curbside pickup', 'Delivery']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Vietnamese,25 Đường 18
22,Phở Phúc,3.6,(10),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,183A Đ. Hiệp Bình
23,Bún đậu mắm tôm Mẹt,4.4,(73),None,"['Dine-in', 'Drive-through', 'Delivery']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Bistro,"Số 30, đường số 12, P"
24,Phở Hà Thành,5.0,(3),None,"['Dine-in', 'Takeout']",[],Breakfast,238 Đ. Hiệp Bình
25,Deliany Tân Phú,4.8,(4),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 11\u202fAM']",Fast Food,71 Nguyễn Văn Săng
26,Diner 279,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 7\u202fPM']",Restaurant,"279 Kha Vạn Cân, Phường Hiệp Bình Chánh, Quận Thủ Đức, TPHCM"
27,Hạnh Ký Mì Gia,4.0,(2),None,"['Dine-in', 'Takeout']",[],Restaurant,20 Đ. Hiệp Bình
