,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,"Quán ăn Nhà Mình- ở Hiệp Bình Phước Thành Phố Thủ Đức, TPHCM",4.2,(41),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,16B Đ. Số 17
6,Ba Thoại quán,4.2,(84),None,"['Dine-in', 'Takeout']","['Closes soon', ' ⋅ 11:30\u202fPM ⋅ Opens 8\u202fAM Fri']",Restaurant,30 Đường Số 4
7,Quán Mường Xén,5.0,(2),None,['Dine-in'],"['Closed', ' ⋅ Opens 3\u202fPM Fri']",Bistro,6/151 QL13
8,Trăng Sao quán 2,3.6,(9),None,"['Dine-in', 'Takeout']",[],Restaurant,53 Đ. Hiệp Bình
9,Bún bò 451,5.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Bistro,07 Đ. Số 14
10,Càfê Trang,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Restaurant,Hẻm 389
11,Món ngon Thủ Đức,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,688 QL13
12,Quán ăn Hồng Quyên,5.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,6 Hẻm 606
13,BỔI QUÁN -TIỆC TƯ GIA,5.0,(1),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,6/174 QL13
14,Hải sản một nắng Cô Ba ở Hiệp Bình,4.3,(3),None,"['Dine-in', 'Takeout', 'Delivery']",['Open 24 hours'],Seafood,10 Đường số 6
15,Quán ốc Út Thư,5.0,(1),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Closed', ' ⋅ Opens 3\u202fPM Fri']",Restaurant,62 Đường Số 4
16,Quán cây Đào,None,None,None,"['Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Family-friendly,13/2g Đường số 10
17,Quán ăn chay QL13,5.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Vegetarian,616 QL13
18,Nhà hàng sân vườn Mười Xuân,4.1,(246),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,VP6H+3H4
19,Bánh Tráng Tép Mỡ Rim Út Ngân,None,None,None,['Takeout'],"['Closed', ' ⋅ Opens 3\u202fPM Fri']",Hawker stall,630 QL13
20,Cháo Lòng Vũ Phi 18A,4.7,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 3\u202fPM Fri']",Restaurant,487 QL13
21,Cơm Tấm Minh,4.4,(18),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 11\u202fAM Fri']",Deli,574 QL13
22,ẨM THỰC HẢI SƠN,4.3,(253),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,173a Đ. Hiệp Bình
23,Quán Ăn Mười Xuân,4.3,(74),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,718 QL13
24,Phở Hằng,4.5,(2),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Bistro,Hẻm 520/20
25,Cơm Hà,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 1\u202fPM']",Restaurant,31 Đ. Hiệp Bình
26,"Quán ăn Nhà Mình- ở Hiệp Bình Phước Thành Phố Thủ Đức, TPHCM",4.2,(41),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 10\u202fAM']",Restaurant,16B Đ. Số 17
27,Ba Thoại quán,4.2,(84),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11:30\u202fPM']",Restaurant,30 Đường Số 4
28,Bổi quán,None,None,None,"['Dine-in', 'Takeout']",[],Family-friendly,36 21 số 4
29,Quán Mường Xén,5.0,(2),None,['Dine-in'],"['Closed', ' ⋅ Opens 3\u202fPM']",Bistro,6/151 QL13
