,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,The Steak Bar,None,None,None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 2\u202fPM Fri']",Restaurant,31 Đặng Thị Rành
6,Lẩu dê,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,1 Đường Nguyễn Văn Lịch
7,Quán Cơm 37,None,None,None,"['Dine-in', 'Takeout']",[],Bistro,51 Đ. Số 9
8,Quán ăn Tài Ký,None,None,None,"['Dine-in', 'Takeout']",[],Family-friendly,902 Đ. Kha Vạn Cân
9,Nhà hàng Trường An,4.0,(2),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,893 Đ. Kha Vạn Cân
10,Cafe Hy Vọng,4.0,(325),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,86-4 Đ. Số 9
11,QUÁN ĐỨC,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,"15 Dương Văn Cam, Phường Linh Đông, Quận Thủ Đức, TPHCM"
12,Cô Út - Phá Lấu Lòng Tai Heo,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Bistro,999 Đ. Kha Vạn Cân
13,Thành,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8:30\u202fAM Fri']",Fast Food,2A Đ. Đào Trinh Nhất
14,Quán Hủ Tiếu Mì A Dư,5.0,(1),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 12\u202fPM Fri']",Bistro,21 Trương Văn Ngư
15,Cơm tấm 24H,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']",[],Restaurant,37f Đ. số 1
16,Quán Cô Ba,3.6,(8),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6:30\u202fAM Fri']",Bistro,37 Đặng Thị Rành
17,Ẩm Thực Sóng Biển,4.0,(29),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,VQ85+9CV
18,Cơm gà mật ong Ande,4.0,(2),None,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Breakfast,25 Đường số 5
19,Phở hồ tây,None,None,None,"['Dine-in', 'Takeout']",[],Tiffin center,91/5D Đ. Kha Vạn Cân
20,Hệ Thống Bò Tơ Tây Thành,4.6,(21),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Barbecue,"Lô A7, Đ. Đào Trinh Nhất"
21,Ốc Út Chiến,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,1070 Đ. Kha Vạn Cân
22,Ốc Lucky,4.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 4\u202fPM Fri']",Bistro,47 Đ. số 6
23,Hoa viên Khu dân cư Tân Hải Minh,5.0,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,89 Đ. D2
24,Lẩu chay Minh Tâm VeGan,4.7,(54),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Hot Pot,113 Tô Ngọc Vân
25,Tomorrow,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,821 Đ. Kha Vạn Cân
26,Phở số 2 Linh Tây,5.0,(7),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fAM']",Breakfast,10 Đường Số 18
27,Nhà hàng Trường An,4.0,(2),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,893 Đ. Kha Vạn Cân
28,Cafe Hy Vọng,4.0,(325),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 9\u202fAM']",Restaurant,86-4 Đ. Số 9
