,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Quán Ăn Uống,4.6,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Bistro,"1128/1A, Trường Sa, Phường 17, Quận Phú Nhuận"
6,Tune1998,5.0,(1),None,['Dine-in'],"['Open', ' ⋅ Closes 2\u202fAM']",Restaurant,33 Đ. Lê Văn Sỹ
7,Ăn Vặt Hông,None,None,None,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Restaurant,"183/2FA, Đ. Lê Văn Sỹ"
8,Quán Ăn Ti Ti,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,387 Huỳnh Văn Bánh
9,Su Su quán,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fAM']",Vietnamese,1093 Đ. Trường Sa
10,Trăng Xưa Quán,4.9,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,525-75 Huỳnh Văn Bánh
11,World of Food Dung Nguyễn,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,19 Đ. Lê Văn Sỹ
12,Cà Ri Dê Ấn Độ - Indian Beef Curry - Xu xi Quán,4.2,(183),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 5\u202fPM Fri']",Restaurant,1192 Trường Sa
13,Điểm Tâm 39,5.0,(1),None,"['Dine-in', 'Takeout']",[],Bistro,39 Đ. Lê Văn Sỹ
14,Lẩu Dê Thảo Ký,4.1,(184),None,"['""Cozy alley with really good ', 'food', ' and great service.""']","['Closed', ' ⋅ Opens 5\u202fPM Fri']",Bistro,525/144 Huỳnh Văn Bánh
15,Bò Né Lệ Hồng,4.1,(545),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,489/29/20 Huỳnh Văn Bánh
16,Sushi Masa CN Lê Văn Sỹ,4.5,(458),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 11\u202fAM Fri']",Restaurant,78 Đ. Lê Văn Sỹ
17,Súp Sen,None,None,None,"['Dine-in', 'Takeout', 'Delivery']",[],Restaurant,57 Đ. Lê Văn Sỹ
18,Quán Canh Bún Bánh Đa Cô Vui,5.0,(2),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 1\u202fPM Fri']",Restaurant,489A/23A/152 Huỳnh Văn Bánh
19,Quán Tiến 1136,5.0,(4),None,"['Dine-in', 'Takeout']","['Closes soon', ' ⋅ 12\u202fAM ⋅ Opens 3\u202fPM Fri']",Restaurant,1136 Trường Sa
20,Lẫu cua bầu,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 4\u202fPM Fri']",Asian,347/4 Huỳnh Văn Bánh
21,Quán Ăn Quỳnh,3.8,(628),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 12\u202fPM Fri']",Restaurant,1128 Trường Sa
22,Nhà Chay,4.0,(28),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Vegan,11 Đ. Lê Văn Sỹ
23,Bánh tráng trộn trứng cút lòng đào - 2 Ú,4.4,(5),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10:30\u202fAM Fri']",Fast Food,1168 Trường Sa
24,Canh Bún Mẹ Tôi,4.1,(679),None,"['""A must-try local ', 'food', ', you will&nbsp;...""']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Bistro,Hẻm 115 Lê Văn Sỹ
25,Phường 13,None,None,None,[],[],Phú Nhuận,Vietnam
26,An An,None,None,None,[],[],Takeout Restaurant,87 Đường Số 10
27,Quán Ăn Gia Đình Linh Xuân Thôn,4.0,(31),None,"['Dine-in', 'Drive-through', 'Delivery']","['Closed', ' ⋅ Opens 9\u202fAM']",Restaurant,33 Đường số 6
28,Ẩm Thực Cao Bồi - Linh Xuân Thủ Đức,4.7,(18),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,69A Đường 4
29,Tu &amp; Snail Restaurant,3.9,(9),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 6\u202fPM']",Seafood,"70, Street 5, Linh Xuan Ward, Thu Duc District"
30,Quán ăn HP20,5.0,(4),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"42/2/1/8A1, Đường Số 10"
