,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Cafe,None,None,None,[],['Temporarily closed'],Restaurant,"RPPV+QPF, Unnamed Road"
6,Osaka,3.7,(3),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"RPXX+448, Đ. Phạm Văn Đồng"
7,Quán 39 Linh Đông Thủ Đức,1.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,5 Đ. Linh Đông
8,Bê Thui Cao Nguyên 2,4.3,(172),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,01 Đ. Linh Đông
9,QUÁN VĂN HOA,4.9,(7),None,[],['Temporarily closed'],Bistro,50-52 Đ. Linh Đông
