,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Thành phố thủ đức,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,63b Đ. Số 2
6,Phở Bắc Hải - ông Vành,5.0,(2),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11:59\u202fPM']",Vietnamese,60 Đ. Số 2
7,Quán Rắn Trường Thọ,4.3,(47),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Opens soon', ' ⋅ 9\u202fAM']",Restaurant,177 Đ. Số 11
8,Quán nhậu,5.0,(3),None,"['Dine-in', 'Takeout']",[],Bistro,102 Đ. Số 2
9,Trường Thọ Quán,4.7,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 4:30\u202fPM']",Restaurant,32B Đường Số 2
