,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Hải Sản Số 01,4.4,(41),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fAM']",Restaurant,"TP Thủ Đức, 127A1 Đường Tăng Nhơn Phú"
6,Thu Phương Bread,5.0,(1),None,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Organic,74D Đường 297
7,Coffee House Quận 9,4.3,(16),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,70A Đ. số 109
8,Lẩu Ngon,4.4,(18),None,"['Dine-in', 'Curbside pickup', 'Delivery']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Hot Pot,35B
9,Lê Trung,None,None,None,"['Dine-in', 'Takeout']",[],Brasserie,"Tp, 2 Đ. 339"
10,Lẩu Ngon,4.4,(18),None,"['Dine-in', 'Curbside pickup', 'Delivery']","['Opens soon', ' ⋅ 9\u202fAM']",Hot Pot,35B
11,Quán Phở,5.0,(2),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 5\u202fPM']",Bistro,22 Thủy Lợi
12,ChunhoNcare Văn Nhịn TP THỦ ĐỨC,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 5:30\u202fPM']",Sundae restaurant,17 Đ. Số 176
13,Hải Sản Số 01,4.4,(41),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 4\u202fPM']",Restaurant,"TP Thủ Đức, 127A1 Đường Tăng Nhơn Phú"
14,Quán Ốc 268,4.9,(8),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 2\u202fPM']",Seafood,"KDC Bách Giang, Đ. 268"
