,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Ẩm Thực Lối Về,3.8,(132),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,18 Đường số 9
6,CƠM TẤM 7777,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fAM']",Restaurant,G51 Đường D
7,Quán Ăn Cô Thu,5.0,(1),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,"VP5Q+7VG, Đ. Tam Bình"
8,Nhà hàng Năm Lửa 18,4.2,(507),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,Số 2. Kdc
9,Cửa hàng Bánh&amp;Thịt,None,None,None,"['Dine-in', 'Takeout']",[],Family-friendly,"73A KP4, Đ. số 12"
10,Cafe Đam Mê,4.7,(10),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7\u202fAM Fri']",American,29 Đường số 10
11,Cơm Tấm Hủ Tiếu Thành Dung,4.8,(5),None,"['Dine-in', 'Drive-through', 'Delivery']","['Closed', ' ⋅ Opens 6:30\u202fAM Fri']",Bistro,39 Đ. Gò Dưa
12,Cháo Lươn Miền Trung,4.4,(16),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6:30\u202fAM Fri']",Bistro,8 Đường số 10
13,Gỏi cuốn cô 8 cây me,5.0,(2),None,['Dine-in'],[],Restaurant,18 Đ. số 12
14,Công ty TNHH Sản xuất &amp; Thương mại Gia Hồ,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Vietnamese,"Tp, 79/3 Đ. số 12"
15,Quán Khiêm Hằng,3.0,(4),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,4 Đ. Gò Dưa
16,Hải Sản Cây Bàng,4.7,(12),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Seafood,8 Đ. Số 11
17,Quán 67B,5.0,(5),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Noodle Shop,67 Đ. số 12
18,Bún đậu Phố Đôi,4.5,(15),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Brunch,20 Đ. Số 11
19,Ẩm Thực Mũi Tàu,2.7,(25),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 2\u202fAM']",Restaurant,789/12 TL43
20,Bi Vân Quán,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 6\u202fAM Fri']",Restaurant,33 Đ. Gò Dưa
21,Hải Sản Tam Bình,5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,41 Đ. Gò Dưa
22,Quán Vịt Quay Thúy Đan,2.5,(2),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,151 Đ. Tam Bình
23,Quán Lẩu 7 Tồn,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,57 Đ. Gò Dưa
24,Quán Cơm Tấm Cửu Long 2,4.0,(2),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6:30\u202fAM Fri']",Bistro,440 QL1A
25,Ẩm Thực Lối Về,3.8,(132),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,18 Đường số 9
26,Nhà hàng Năm Lửa 18,4.2,(507),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closed', ' ⋅ Opens 10\u202fAM']",Restaurant,Số 2. Kdc
27,Cafe Đam Mê,4.7,(10),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",American,29 Đường số 10
28,Cơm Tấm Hủ Tiếu Thành Dung,4.8,(5),None,"['Dine-in', 'Drive-through', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,39 Đ. Gò Dưa
29,Cháo Lươn Miền Trung,4.4,(16),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9:30\u202fPM']",Bistro,8 Đường số 10
