,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Quán Ăn Cô Thu,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 8\u202fPM']",Restaurant,"VP5Q+7VG, Đ. Tam Bình"
6,Quán Ốc 48,5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,48 Bình Phú
7,cơm tấm ÚT PHƯỢNG,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fAM']",Breakfast,"VP5R+8XR, Hẻm 64"
8,Dntn Nhà Hàng Thạnh Phú,3.9,(288),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM']",Restaurant,52 Bình Phú
9,Cafe Út Hạnh,4.7,(6),None,"['Dine-in', 'Takeout']",[],Restaurant,72 Bình Phú
