,name,stars,review,price,note,open_time,restautant_type,address
0,NHÀ HÀNG VẠN PHÚC,4.5,(18),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,"X46P+9VM, Unnamed Road"
1,Nhà Hàng Tân Ngọc Hương,4.6,(7),None,['Dine-in'],[],None,None
2,Restaurant &amp; Karaoke King's 16,4.4,(15),None,"['Dine-in', 'Curbside pickup']",['Open 24 hours'],Restaurant,X49R+G7V
3,Hương Sen,4.0,(198),None,['Dine-in'],"['Open', ' ⋅ Closes 10\u202fPM']",Cafe,X42Q+P53
4,Cafe Hương Lam Viên,4.1,(69),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Cafe,"X46Q+MRR, QL14B"
5,Cafe Hương Ngọc,5.0,(2),None,['Dine-in'],[],None,None
6,Đồng Xanh Đồng Nghệ,4.4,(30),None,[],[],None,None
7,Quán Bún Mì Quảng,None,None,None,"['Dine-in', 'Takeout']",[],None,None
8,Anh Quân Bakery - Hoà Khương,5.0,(5),None,"['In-store shopping', 'In-store pickup']","['Open', ' ⋅ Closes 10:30\u202fPM']",Bakery,"X46Q+6MG, QL14B"
9,Chợ Hòa Khương,3.9,(41),None,"['""Không gian ', 'cafe', ' tuyệt đẹp!""']","['Closes soon', ' ⋅ 6:30\u202fPM ⋅ Opens 5:30\u202fAM Sat']",Market,X46Q+H96
10,Gió Đồng,4.0,(115),None,"['Dine-in', 'Drive-through', 'No-contact delivery']",[],None,None
11,People's Committee of Hoa Khuong Commune,4.4,(17),None,[],"['Closed', ' ⋅ Opens 8\u202fAM Sat']",Local government office,"X46Q+8WW, QL14B"
12,Quán nhậu Ba Thịnh,4.2,(10),None,"['Dine-in', 'Takeout', 'Delivery']",['Open now'],Restaurant,"2543+X46, Unnamed Road"
13,Quán Hương Sen,3.9,(103),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"34F2+RPV, ĐT601"
14,Hoas Place,4.8,(101),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,Bãi Tắm Non Nước
15,Sarang Restaurant,4.9,(26),None,"['Dine-in', 'Takeout', 'Delivery']",['Open 24 hours'],Korean,118 Đ. Huỳnh Ngọc Đủ
16,Arapang,3.8,(624),None,['Dine-in'],"['Closed', ' ⋅ Opens 11\u202fAM Sat']",Buffet,XXWQ+98R
17,Thôn Hương Lam xã Hoà Khương Hoà Vang Đà Nẵng,None,None,None,[],[],None,None
18,Hoa Restaurant,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,231 Cách Mạng Tháng 8
19,Hòa Khương,None,None,None,[],[],None,None
