,name,stars,review,price,note,open_time,restautant_type,address
0,Torino Restaurant &amp; Bakery,4.6,(512),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Italian,164 Châu Thị Vĩnh Tế
1,Athena Souvlaki,4.6,(151),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Greek,9 An Thượng 4
2,Ăn vặt MU,None,None,None,"['Dine-in', 'Takeout']",[],None,None
3,Quán Hải Sản Thời Cổ Đà Nẵng-The Antique Restaurant,4.4,(611),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Seafood,354/1 Võ Nguyên Giáp
4,Sakura Restaurant,5.0,(63),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,20 An Thượng 10
5,Chi Mai Restaurant,5.0,(1),None,"['Dine-in', 'Takeout']",[],None,None
6,Quán Ăn Thu Ngân,None,None,None,"['Dine-in', 'Takeout']",[],None,None
7,Kenta,4.5,(563),None,"['Dine-in', 'Takeout', 'No delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Vietnamese,39 An Thượng 3
8,Chu Restaurant &amp; Bar,4.5,(33),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,51 Hoàng Kế Viêm
9,Madame Mai. Restaurant,4.6,(7),None,"['Dine-in', 'Takeout']",[],None,None
10,Bánh Canh Mợ Tèo 2,4.2,(9),None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
11,Bún Chả Hà Nội Giang Béo,5.0,(25),None,[],"['Open', ' ⋅ Closes 8\u202fPM']",Family-friendly,23B3 An Thượng 38
12,"Bò Tơ Quán - Lẩu Và Nướng - 166, 168 Mai Thúc Lân, Ngũ Hành Sơn",4.2,(36),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,168 Đ. Mai Thúc Lân
13,FUNE Sushi,4.3,(304),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 2\u202fAM']",Sushi,06 An Thượng 6
14,Điểm Chay,None,None,None,"['Dine-in', 'Takeout']",[],None,None
15,Đà nẵng,None,None,None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
16,Cây Me Restaurant,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,10 An Thượng 31
17,Si Dining Restaurant in Da Nang,4.9,(102),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"1 Giang Châu 2 Phường Khuê Mỹ, Quận Ngũ Hành Sơn Da Nang City"
18,Hanh &amp; Ken - Authentic Vietnamese Cuisine,4.8,(142),None,"['Dine-in', 'Curbside pickup', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Vietnamese,36 An Thượng 5
19,L'Italiano RESTAURANT,4.6,(991),None,['Best Pizza Restaurants in Da Nang'],"['Open', ' ⋅ Closes 10\u202fPM']",Italian,Lot 40 An Thượng 30
20,Quán Phố Nướng,4.0,(69),None,"['Dine-in', 'Takeout', 'Delivery']",[],None,None
21,HANNAH Pub &amp; Restaurant,4.4,(163),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,14 An Thượng 6
22,Happy Heart Cafe,4.7,(619),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Closes soon', ' ⋅ 6:30\u202fPM ⋅ Opens 7:30\u202fAM Sat']",Restaurant,57 Đ. Ng. Thì Sĩ
23,Ngon Thi Hoa Restaurant,4.2,(528),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Vietnamese,100 Lê Quang Đạo
24,Nhà Hàng Phương Cua,3.1,(58),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Sat']",Restaurant,362W+VWM
