,CityName,CityID,District,DistrictID,Ward,WardID,Level,EnglishName
0,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Phúc Xá,1.0,Phường,
1,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Trúc Bạch,4.0,Phường,
2,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Vĩnh Phúc,6.0,Phường,Vinh Phuc Commune
3,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Cống Vị,7.0,Phường,
4,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Liễu Giai,8.0,Phường,Lieu Giai Commune
5,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Nguyễn Trung Trực,10.0,Phường,
6,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Quán Thánh,13.0,Phường,
7,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Hà,16.0,Phường,
8,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Điện Biên,19.0,Phường,
9,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Đội Cấn,22.0,Phường,
10,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Khánh,25.0,Phường,
11,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Kim Mã,28.0,Phường,
12,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Giảng Võ,31.0,Phường,
13,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Thành Công,34.0,Phường,
14,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phúc Tân,37.0,Phường,
15,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Đồng Xuân,40.0,Phường,
16,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Mã,43.0,Phường,
17,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Buồm,46.0,Phường,
18,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Đào,49.0,Phường,
19,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bồ,52.0,Phường,
20,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Đông,55.0,Phường,
21,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Lý Thái Tổ,58.0,Phường,
22,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bạc,61.0,Phường,
23,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Gai,64.0,Phường,
24,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Chương Dương,67.0,Phường,
25,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Trống,70.0,Phường,
26,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Nam,73.0,Phường,
27,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bông,76.0,Phường,
28,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Tràng Tiền,79.0,Phường,
29,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Trần Hưng Đạo,82.0,Phường,
30,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phan Chu Trinh,85.0,Phường,
31,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bài,88.0,Phường,
32,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Phú Thượng,91.0,Phường,
33,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Nhật Tân,94.0,Phường,
34,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Tứ Liên,97.0,Phường,
35,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Quảng An,100.0,Phường,
36,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Xuân La,103.0,Phường,
37,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Yên Phụ,106.0,Phường,
38,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Bưởi,109.0,Phường,
39,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Thụy Khuê,112.0,Phường,
40,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Thượng Thanh,115.0,Phường,
41,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Ngọc Thụy,118.0,Phường,
42,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Giang Biên,121.0,Phường,
43,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Đức Giang,124.0,Phường,
44,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Việt Hưng,127.0,Phường,
45,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Gia Thụy,130.0,Phường,
46,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Ngọc Lâm,133.0,Phường,
47,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Phúc Lợi,136.0,Phường,
48,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Bồ Đề,139.0,Phường,
49,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Sài Đồng,142.0,Phường,
50,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Long Biên,145.0,Phường,
51,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Thạch Bàn,148.0,Phường,
52,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Phúc Đồng,151.0,Phường,
53,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Cự Khối,154.0,Phường,
54,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Nghĩa Đô,157.0,Phường,
55,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Nghĩa Tân,160.0,Phường,
56,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Mai Dịch,163.0,Phường,
57,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Dịch Vọng,166.0,Phường,
58,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Dịch Vọng Hậu,167.0,Phường,Dich Vong Hau Commune
59,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Quan Hoa,169.0,Phường,
60,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Yên Hoà,172.0,Phường,
61,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Trung Hoà,175.0,Phường,
62,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Cát Linh,178.0,Phường,
63,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Văn Miếu,181.0,Phường,
64,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Quốc Tử Giám,184.0,Phường,
65,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Láng Thượng,187.0,Phường,
66,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Ô Chợ Dừa,190.0,Phường,
67,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Văn Chương,193.0,Phường,
68,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Hàng Bột,196.0,Phường,
69,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Láng Hạ,199.0,Phường,
70,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Khâm Thiên,202.0,Phường,
71,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Thổ Quan,205.0,Phường,
72,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Nam Đồng,208.0,Phường,
73,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Trung Phụng,211.0,Phường,
74,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Quang Trung,214.0,Phường,
75,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Trung Liệt,217.0,Phường,
76,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Phương Liên,220.0,Phường,
77,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Thịnh Quang,223.0,Phường,
78,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Trung Tự,226.0,Phường,
79,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Kim Liên,229.0,Phường,
80,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Phương Mai,232.0,Phường,
81,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Ngã Tư Sở,235.0,Phường,
82,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Khương Thượng,238.0,Phường,
83,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Nguyễn Du,241.0,Phường,
84,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Bạch Đằng,244.0,Phường,
85,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Phạm Đình Hổ,247.0,Phường,
86,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Lê Đại Hành,256.0,Phường,
87,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Đồng Nhân,259.0,Phường,
88,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Phố Huế,262.0,Phường,
89,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Đống Mác,265.0,Phường,
90,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Thanh Lương,268.0,Phường,
91,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Thanh Nhàn,271.0,Phường,
92,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Cầu Dền,274.0,Phường,
93,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Bách Khoa,277.0,Phường,
94,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Đồng Tâm,280.0,Phường,
95,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Vĩnh Tuy,283.0,Phường,
96,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Bạch Mai,286.0,Phường,
97,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Quỳnh Mai,289.0,Phường,
98,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Quỳnh Lôi,292.0,Phường,
99,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Minh Khai,295.0,Phường,
100,Thành phố Hà Nội,1,Quận Hai Bà Trưng,7,Phường Trương Định,298.0,Phường,
101,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Thanh Trì,301.0,Phường,
102,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Vĩnh Hưng,304.0,Phường,
103,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Định Công,307.0,Phường,
104,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Mai Động,310.0,Phường,
105,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Tương Mai,313.0,Phường,
106,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Đại Kim,316.0,Phường,
107,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Tân Mai,319.0,Phường,
108,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Hoàng Văn Thụ,322.0,Phường,
109,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Giáp Bát,325.0,Phường,
110,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Lĩnh Nam,328.0,Phường,
111,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Thịnh Liệt,331.0,Phường,
112,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Trần Phú,334.0,Phường,
113,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Hoàng Liệt,337.0,Phường,
114,Thành phố Hà Nội,1,Quận Hoàng Mai,8,Phường Yên Sở,340.0,Phường,
115,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Nhân Chính,343.0,Phường,
116,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Thượng Đình,346.0,Phường,
117,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Khương Trung,349.0,Phường,
118,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Khương Mai,352.0,Phường,
119,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Thanh Xuân Trung,355.0,Phường,
120,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Phương Liệt,358.0,Phường,
121,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Hạ Đình,361.0,Phường,
122,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Khương Đình,364.0,Phường,
123,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Thanh Xuân Bắc,367.0,Phường,
124,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Thanh Xuân Nam,370.0,Phường,
125,Thành phố Hà Nội,1,Quận Thanh Xuân,9,Phường Kim Giang,373.0,Phường,
126,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Thị trấn Sóc Sơn,376.0,Thị trấn,
127,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Bắc Sơn,379.0,Xã,
128,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Minh Trí,382.0,Xã,
129,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Hồng Kỳ,385.0,Xã,
130,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Nam Sơn,388.0,Xã,
131,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Trung Giã,391.0,Xã,
132,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Tân Hưng,394.0,Xã,
133,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Minh Phú,397.0,Xã,
134,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Phù Linh,400.0,Xã,
135,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Bắc Phú,403.0,Xã,
136,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Tân Minh,406.0,Xã,
137,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Quang Tiến,409.0,Xã,
138,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Hiền Ninh,412.0,Xã,
139,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Tân Dân,415.0,Xã,
140,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Tiên Dược,418.0,Xã,
141,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Việt Long,421.0,Xã,
142,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Xuân Giang,424.0,Xã,
143,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Mai Đình,427.0,Xã,
144,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Đức Hoà,430.0,Xã,
145,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Thanh Xuân,433.0,Xã,
146,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Đông Xuân,436.0,Xã,
147,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Kim Lũ,439.0,Xã,
148,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Phú Cường,442.0,Xã,
149,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Phú Minh,445.0,Xã,
150,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Phù Lỗ,448.0,Xã,
151,Thành phố Hà Nội,1,Huyện Sóc Sơn,16,Xã Xuân Thu,451.0,Xã,
152,Thành phố Hà Nội,1,Huyện Đông Anh,17,Thị trấn Đông Anh,454.0,Thị trấn,
153,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Xuân Nộn,457.0,Xã,
154,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Thuỵ Lâm,460.0,Xã,
155,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Bắc Hồng,463.0,Xã,
156,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Nguyên Khê,466.0,Xã,
157,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Nam Hồng,469.0,Xã,
158,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Tiên Dương,472.0,Xã,
159,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Vân Hà,475.0,Xã,
160,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Uy Nỗ,478.0,Xã,
161,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Vân Nội,481.0,Xã,
162,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Liên Hà,484.0,Xã,
163,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Việt Hùng,487.0,Xã,
164,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Kim Nỗ,490.0,Xã,
165,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Kim Chung,493.0,Xã,
166,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Dục Tú,496.0,Xã,
167,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Đại Mạch,499.0,Xã,
168,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Vĩnh Ngọc,502.0,Xã,
169,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Cổ Loa,505.0,Xã,
170,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Hải Bối,508.0,Xã,
171,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Xuân Canh,511.0,Xã,
172,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Võng La,514.0,Xã,
173,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Tàm Xá,517.0,Xã,
174,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Mai Lâm,520.0,Xã,
175,Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Đông Hội,523.0,Xã,
176,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Thị trấn Yên Viên,526.0,Thị trấn,
177,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Yên Thường,529.0,Xã,
178,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Yên Viên,532.0,Xã,
179,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Ninh Hiệp,535.0,Xã,
180,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Đình Xuyên,538.0,Xã,
181,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Dương Hà,541.0,Xã,
182,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Phù Đổng,544.0,Xã,
183,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Trung Mầu,547.0,Xã,
184,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Lệ Chi,550.0,Xã,
185,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Cổ Bi,553.0,Xã,
186,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Đặng Xá,556.0,Xã,
187,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Phú Thị,559.0,Xã,
188,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Kim Sơn,562.0,Xã,
189,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Thị trấn Trâu Quỳ,565.0,Thị trấn,Trau Quy Commune
190,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Dương Quang,568.0,Xã,
191,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Dương Xá,571.0,Xã,
192,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Đông Dư,574.0,Xã,
193,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Đa Tốn,577.0,Xã,
194,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Kiêu Kỵ,580.0,Xã,
195,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Bát Tràng,583.0,Xã,
196,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Kim Lan,586.0,Xã,
197,Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Văn Đức,589.0,Xã,
198,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Cầu Diễn,592.0,Phường,
199,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Xuân Phương,622.0,Phường,
200,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Phương Canh,623.0,Phường,
201,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Mỹ Đình 1,625.0,Phường,
202,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Mỹ Đình 2,626.0,Phường,
203,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Tây Mỗ,628.0,Phường,
204,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Mễ Trì,631.0,Phường,
205,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Phú Đô,632.0,Phường,
206,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Đại Mỗ,634.0,Phường,
207,Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Trung Văn,637.0,Phường,
208,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Thị trấn Văn Điển,640.0,Thị trấn,
209,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Tân Triều,643.0,Xã,
210,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Thanh Liệt,646.0,Xã,
211,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Tả Thanh Oai,649.0,Xã,
212,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Hữu Hoà,652.0,Xã,
213,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Tam Hiệp,655.0,Xã,
214,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Tứ Hiệp,658.0,Xã,
215,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Yên Mỹ,661.0,Xã,
216,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Vĩnh Quỳnh,664.0,Xã,
217,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Ngũ Hiệp,667.0,Xã,
218,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Duyên Hà,670.0,Xã,
219,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Ngọc Hồi,673.0,Xã,
220,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Vạn Phúc,676.0,Xã,
221,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Đại áng,679.0,Xã,
222,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Liên Ninh,682.0,Xã,
223,Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Đông Mỹ,685.0,Xã,
224,Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Thượng Cát,595.0,Phường,
225,Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Liên Mạc,598.0,Phường,
226,Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Đông Ngạc,601.0,Phường,
227,Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Đức Thắng,602.0,Phường,
228,Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Thụy Phương,604.0,Phường,
229,Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Tây Tựu,607.0,Phường,
230,Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Xuân Đỉnh,610.0,Phường,
231,Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Xuân Tảo,611.0,Phường,
