,name,stars,review,price,note,open_time,restautant_type,address
0,Hub de Tana Coffee - 28 Nguyên Hồng,4.5,(42),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,28 P. Nguyên Hồng
1,City Cafe,3.9,(212),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,36A P. Nguyên Hồng
2,Coffee Goc Pho,4.1,(274),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Cafe,71 P. Trần Đại Nghĩa
3,Nha San Art Café,4.2,(633),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,Ngõ 462 Đ. Bưởi
4,Cafe IRIS,4.5,(12),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,106 G4 Ng. 12 P. Nguyên Hồng
5,Gạt Tàn Coffee,4.5,(125),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,114 P. Trấn Vũ
6,TAM Cà Phê,4.3,(4),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Cafe,"Nhà D4, tập thể, Ng. 9 Đ. Nguyên Hồng"
7,Viva Star Coffee,4.4,(28),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,ngõ 47 P. Nguyên Hồng
8,A2 Cafe,4.2,(26),None,['Dine-in'],[],None,None
9,Bond Coffee,4.6,(25),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,35 Ng. 28 P. Nguyên Hồng
10,sweetbrew.cafe,4.7,(48),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 7\u202fPM']",Coffee shop,165 P. Bùi Thị Xuân
11,AHA Cafe,4.0,(585),None,"['Dine-in', 'Takeout', 'No delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,90 P. Võ Thị Sáu
12,Lò Xo Coffee &amp; Bakery,4.6,(176),None,"['Dine-in', 'Curbside pickup', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,10 P. Dã Tượng
13,NYNA Coffee - Fresh Coffee Beans - Nguyên Hồng,4.6,(71),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,6 Ngõ 34 - Nguyên Hồng
14,Coffee Bean G5,4.2,(13),None,"['Dine-in', 'Takeout', 'Delivery']",['Open 24 hours'],Cafe,G5 P. Nguyên Hồng
15,Stereo Coffee,4.5,(71),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,77 P. Tuệ Tĩnh
16,CHỐN - Manual Coffee Maker,4.6,(118),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 6\u202fPM']",Cafe,40 P. Nhà Chung
17,Hồng Hạc Cafe,4.6,(27),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,Đ. Lê Văn Lương
18,NAD COFFEE,5.0,(37),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,Ng. 16 P. Huỳnh Thúc Kháng/G18 P. Nguyên Hồng
19,Ka Coffee,4.2,(282),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,P. Nguyên Hồng
