,name,stars,review,price,note,open_time,restautant_type,address
0,City Cafe,3.9,(212),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,36A P. Nguyên Hồng
1,Mil cafe,4.5,(26),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,10 Ng. 28 P. Nguyên Hồng
2,Bond Coffee,4.6,(25),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,35 Ng. 28 P. Nguyên Hồng
3,Old Friends Coffee,4.9,(34),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 6\u202fPM']",Coffee shop,2 Ng. 77 Lê Hồng Phong
4,Ka Coffee,4.2,(282),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,P. Nguyên Hồng
5,Coffee Bean G5,4.2,(13),None,"['Dine-in', 'Takeout', 'Delivery']",['Open 24 hours'],Cafe,G5 P. Nguyên Hồng
6,NYNA Coffee - Fresh Coffee Beans - Nguyên Hồng,4.6,(71),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,6 Ngõ 34 - Nguyên Hồng
7,AUM Coffee,4.6,(22),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,8C P. Vũ Thạnh
8,Viva Star Coffee,4.4,(28),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,ngõ 47 P. Nguyên Hồng
9,Noọng Coffee,4.7,(24),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,108k2 Đ. Nguyễn Phong Sắc
10,Xom Cafe,4.2,(668),None,"['Dine-in', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,N6E KĐT
11,The Hood Cafe,5.0,(21),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,2 Ng. 18 P. Nguyên Hồng
12,Hồng Hạc Cafe,4.6,(27),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,Đ. Lê Văn Lương
13,The Shelter Cafe,4.3,(66),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,56 Ng. 169 P. Tây Sơn
14,Era Coffee,4.7,(42),None,"['Dine-in', 'Curbside pickup', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,256a P. Đặng Tiến Đông
15,M.E.R coffee &amp; dessert,4.5,(31),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,Ng. 16 P. Huỳnh Thúc Kháng/G17 P. Nguyên Hồng
16,The Coffee House N04,4.3,(489),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,"17 T3, P. Hoàng Đạo Thúy"
17,Mr. Cay Coffee,4.7,(22),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,43 Đ. Nguyễn Phong Sắc
18,HÓNG CAFE,4.4,(50),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,8 P. Trần Quang Diệu
19,Cafe Quang,4.5,(66),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Cafe,A9 Ng. 5 Đ. Khuất Duy Tiến
