,name,stars,review,price,note,open_time,restautant_type,address
0,UBND xã Đại Hùng,4.6,(12),None,[],[],None,None
1,coffee chất,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Art cafe,"2RHM+4M3, chợ tản lĩnh"
2,Dai Hung Junior High School,4.5,(11),None,[],[],None,None
3,Trạm y tế xã Đại Hùng,None,None,None,[],[],None,None
4,Đại Hùng,None,None,None,[],[],None,None
5,One Coffee,None,None,None,['Dine-in'],[],None,None
6,Café Giảng,4.7,(14),None,['Dine-in'],['Open 24 hours'],Cafe,20 Ngh. 168/1 P. Hào Nam
7,Đại Hùng,None,None,None,[],[],None,None
8,Les 1999 Coffee &amp; Tea,None,None,None,[],[],None,None
9,Jouri Dessert &amp; Tea,4.2,(309),$$$,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,10 P. Khúc Hạo
10,Tigon Coffee,None,None,None,[],[],None,None
11,ARDOR,4.9,(36),None,"['Dine-in', 'Takeout']",[],None,None
12,Cafe Doan Thi Diem,3.7,(38),None,['Dine-in'],[],None,None
13,Hi Coffee,4.3,(9),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,trung tâm thương mại
14,FT Coffee,4.7,(25),None,['Dine-in'],[],None,None
15,Latte by Refined.,4.7,(49),None,"['Dine-in', 'Curbside pickup', 'No-contact delivery']","['Open', ' ⋅ Closes 6:30\u202fPM']",Coffee shop,11 P. Ngô Tất Tố
16,Daily Dose Coffee,4.5,(158),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,18 P. Lê Trực
17,Phin bar by Refined.,4.8,(95),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 6\u202fPM']",Coffee shop,43 P. Văn Miếu
18,Mai anh coffe,None,None,None,"['Dine-in', 'Takeout']",[],None,None
19,Cafe Nga,5.0,(2),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Cafe,51 P. Quốc Tử Giám
