,name,stars,review,price,note,open_time,restautant_type,address
0,A'way Coffee,4.4,(15),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,6 P. Quần Ngựa
1,Quán Cafe Hà Nội,4.0,(185),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Cafe,26 P. Vạn Phúc
2,Aki Coffee,4.5,(48),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,16 Ng. 3 P. Vạn Phúc
3,Cafe nguyên chất VIANTA,5.0,(1),None,['Dine-in'],['Open now'],Coffee shop,"Số 8 Lô E, P. Vạn Phúc"
4,Coffee Hằng,5.0,(1),None,"['Dine-in', 'Takeout', 'No-contact delivery']",['Open 24 hours'],Art cafe,Đội Cấn
5,Ex coffee,None,None,None,[],[],None,None
6,Cafe Hạnh,4.1,(28),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,2A P. Vạn Phúc
7,Coffee Tẹo,4.2,(13),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,71b Đ. Văn Cao
8,Cà Phê Thanh An,None,None,None,['Dine-in'],[],None,None
9,Trà Hoa Tea House,4.3,(12),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,Ngõ 34 P. Vạn Bảo
10,Châu Cafe,5.0,(5),None,['Dine-in'],[],None,None
11,The Coffee House,4.3,(45),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Cafe,"Tầng 1, toà nhà Five Residences Hà Nội, 345 Đội Cấn"
12,Nghiền CAFE,4.2,(70),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,59B Ng. 279 P. Đội Cấn
13,Ngộ Cố Nhân Cafe,4.6,(37),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Cafe,23 P. Liễu Giai
14,Cafe Tòte - Vạn Phúc,4.6,(74),None,['Dine-in'],"['Open', ' ⋅ Closes 5:30\u202fPM']",Coffee shop,18 Ng. 3 P. Vạn Phúc
15,Cộng Cà Phê,4.1,(914),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,101 P. Vạn Phúc
16,Cafe 68,3.7,(19),None,['Dine-in'],['Open now'],Cafe,"2RM9+889, P. Vạn Bảo"
17,Kêng Cafe,5.0,(2),None,"['Dine-in', 'Takeout']","['Opens soon', ' ⋅ 10\u202fAM']",Cafe,281 Đội Cấn
18,Cafe 88,4.0,(50),None,['Dine-in'],"['Open', ' ⋅ Closes 9\u202fPM']",Cafe,90 Đ. Văn Cao
19,Pretty Coffee &amp; Lounge,3.0,(4),None,['Dine-in'],['Open 24 hours'],Coffee shop,Ngõ 281 Đội Cấn
