,name,stars,review,price,note,open_time,restautant_type,address
0,Mộc Lan Coffee,5.0,(1),None,['Dine-in'],['Open 24 hours'],Coffee shop,"Số 46, khu B, Học viện cảnh sát nhân dân, phường"
1,Rain Coffee,3.9,(137),None,['Dine-in'],"['Open', ' ⋅ Closes 11\u202fPM']",Cafe,Số 2 P. Đặng Thùy Trâm
2,Rain Coffee,5.0,(1),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Coffee shop,"3Q8J+V4G, Unnamed Road"
3,CALM COFFEE,4.9,(16),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Coffee shop,"3Q8G+WHH, Đ. Cổ Nhuế"
4,Quán Phở Thái,4.5,(2),None,"['Dine-in', 'Takeout']",[],None,None
5,Galaxy Coffee,4.3,(176),None,['Dine-in'],['Open 24 hours'],Cafe,"3Q4J+XJ7, Tăng Thiết Giáp"
6,Quán Cơm Ngon Tuấn,4.0,(36),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Deli,"44/145, Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Thành Phố Hà Nội"
7,UBND phường Cổ Nhuế 2,4.2,(9),None,[],"['Closed', ' ⋅ Opens 8\u202fAM Mon']",Local government office,3Q6G+RRF
8,Quán Bia Trung Dũng,3.0,(2),None,"['Dine-in', 'Takeout']",[],None,None
9,Công Ty Cổ Phần Tư Vấn Đầu Tư Và Dịch Vụ Vận Tải Thành Hưng,None,None,None,[],[],None,None
10,Trạm Y Tế phường Cổ Nhuế 2,2.6,(19),None,[],"['Open', ' ⋅ Closes 5\u202fPM']",Medical clinic,3Q6J+Q34
11,Hair Salon Student,None,None,None,[],['Temporarily closed'],Hair salon,"21/347, Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Thành Phố Hà Nội"
12,Co Nhue 2A Primary School,4.4,(37),None,"['Their website mentions ', 'quận bắc từ liêm', ' and ', 'thành phố hà nội']",[],None,None
13,Cổ Nhuế Police 2,3.7,(7),None,[],"['Open', ' ⋅ Closes 5\u202fPM']",None,None
14,Trung Tâm Anh Ngữ Aten,None,None,None,[],['Temporarily closed'],School,"32, Tăng Thiết Giáp, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Thành Phố Hà Nội"
15,Cổ Nhuế 2,None,None,None,[],[],None,None
16,Hair Salon Anh Tuấn,None,None,None,[],['Temporarily closed'],Hair salon,"391, Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Thành Phố Hà Nội"
17,Ẩm Thực Vườn Cau 2,3.8,(11),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 6\u202fPM']",Restaurant,"Khu Đô Thị Nam Cường, CT3D, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành Phố Hà Nội"
18,Cafe Sun &amp; EFFE Coffee,3.9,(163),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 11:30\u202fPM']",Cafe,477 Hoàng Quốc Việt
19,Quán Phở Bò Gia Truyền Nam Định,3.8,(12),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Deli,"294, Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Thành Phố Hà Nội"
