,name,stars,review,price,note,open_time,restautant_type,address
0,Tohi coffee,4.1,(177),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,D46 Đường số 10
1,Blumini Coffee - Đ. Hồng Bàng P2Q6,5.0,(37),None,['In-store pickup'],"['Open', ' ⋅ Closes 10\u202fPM']",Coffee store,579 Đ. Hồng Bàng
2,Coffee A&amp;E,4.5,(22),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,370 Đường Trần Văn Kiểu
3,Coffee Lands - Your taste,4.3,(222),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,36 Đường số 9
4,PAPA COFFEE,4.8,(14),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Coffee shop,80 Đường số 10
5,A-coffee,None,None,None,['Dine-in'],[],None,None
6,TH Gaming Milk tea @ Coffee,4.8,(11),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Cafe,22 Lê Tuấn Mậu
7,Chất Coffee,4.3,(572),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Cafe,95 Bình Phú
8,Cafe Mori,4.1,(168),None,['Dine-in'],"['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,120 Đường số 10
9,Cọi Coffee,4.4,(44),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,487A Đ. Hậu Giang
10,The Coffee House - Hậu Giang,4.4,(915),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9:30\u202fPM']",Cafe,178 Đ. Hậu Giang
11,Cong Ca Phe,4.2,(489),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Coffee shop,152 Chợ Lớn
